Gene_Id	geldanamycin_HEPG2_24 h_3.33 um
AARS	-5.626964092
ABCF1	0.525769651
ABL1	-2.465312719
ACAA1	0.067467585
ACAT2	0.534103692
ACLY	1.344077945
ADAM10	-1.788871765
ADH5	0.36570859
PARP1	-3.386116982
ADRB2	-5.140927792
AGL	1.045420289
AKT1	-0.029086813
ALAS1	0.362101555
ALDOA	-2.652241707
ALDOC	-0.116400659
SLC25A4	-0.04099521
ANXA7	-0.1298417
APBB2	0.469262362
BIRC2	-1.416612625
BIRC5	1.931402683
APOE	1.351521969
APP	-4.55224514
FAS	-4.574492455
RHOA	2.210557938
ARHGAP1	-0.051394708
ASAH1	0.429560542
ATF1	2.963613987
ATP1B1	-3.49322629
ALDH7A1	0.031609274
ATP6V0B	-1.13594842
BAD	-2.072412968
BAX	2.83579421
CCND1	-1.406987667
BCL2	2.436888218
BDH1	-4.655038357
BID	1.321174622
BLMH	3.644654751
BLVRA	0.682795405
BMP4	3.430376291
BNIP3	3.043080568
BNIP3L	0.401292175
BPHL	-4.84496069
BRCA1	2.183222771
BTK	-0.780395687
BUB1B	0.437803864
C5	0.541353822
DDR1	2.740278244
CALM3	0.042559117
CALU	1.557468891
CAPN1	1.033925414
CAST	-2.003541231
CASP2	-1.826344728
CASP3	-3.505739927
CASP7	1.053884149
CASP10	3.784216404
CAT	1.546628594
CBLB	0.806387663
CBR1	1.15022254
CBR3	-2.01958251
CCNA2	0.153105497
CCNB1	-0.346125305
CCND3	-2.085199833
CCNF	-1.375790119
CCNH	-0.859798908
SCARB1	2.017493725
CD40	-0.1280168
CD44	2.263335228
CD58	-4.367700577
ADGRE5	2.89845705
CDK1	0.001390696
CDC20	0.794505417
CDC25A	-4.202365875
CDC25B	2.044979095
CDC42	-2.353322029
CDH3	3.046193838
CDK2	-3.428538799
CDK4	2.571790934
CDK6	-0.30112493
CDK7	0.804511786
CDKN1A	1.692391157
CDKN1B	-1.584395766
CDKN2A	1.020054102
CEBPA	2.365204334
CEBPD	0.531297326
CENPE	3.780258179
CETN3	-4.14525795
