Gene_Id	radicicol_HEPG2_24 h_1.11 um
AARS	-2.771965981
ABCF1	0.203258425
ABL1	-2.251532555
ACAA1	0.194828689
ACAT2	0.100863755
ACLY	1.082542181
ADAM10	-2.008494854
ADH5	4.28179121
PARP1	-1.68554163
ADRB2	3.144483328
AGL	0.700072527
AKT1	-0.708589017
ALAS1	-0.303765833
ALDOA	-2.316319466
ALDOC	-0.322840273
SLC25A4	0.455119133
ANXA7	-0.260846108
APBB2	-0.331405729
BIRC2	-2.750682831
BIRC5	2.43476367
APOE	1.608366847
APP	-3.524237394
FAS	-1.187736511
RHOA	1.491755009
ARHGAP1	-0.522191405
ASAH1	0.591506362
ATF1	2.07597971
ATP1B1	-1.381608248
ALDH7A1	0.486416072
ATP6V0B	-1.256331921
BAD	-2.111138821
BAX	3.029318094
CCND1	-1.618008733
BCL2	1.763967991
BDH1	-2.864562511
BID	1.023003697
BLMH	2.159959078
BLVRA	-0.436245948
BMP4	2.492851496
BNIP3	2.993765354
BNIP3L	0.773558021
BPHL	-4.023730278
BRCA1	0.293813705
BTK	-0.469288588
BUB1B	0.400981933
C5	1.006810069
DDR1	0.97646302
CALM3	0.254393101
CALU	0.836811304
CAPN1	-0.718647838
CAST	-1.143904686
CASP2	-1.813759804
CASP3	-1.873491287
CASP7	2.605603933
CASP10	3.363532066
CAT	0.187003434
CBLB	-1.088221073
CBR1	0.947911441
CBR3	-0.656802058
CCNA2	-0.769823015
CCNB1	-0.229788393
CCND3	-1.590134621
CCNF	-1.481891394
CCNH	-0.350804955
SCARB1	0.250261396
CD40	-0.292060196
CD44	1.756897092
CD58	-2.886567593
ADGRE5	2.71914053
CDK1	-0.559250116
CDC20	0.502054811
CDC25A	-2.160736561
CDC25B	1.806771636
CDC42	-2.619026899
CDH3	1.497527003
CDK2	-2.382026672
CDK4	2.702971458
CDK6	1.242120266
CDK7	0.318738312
CDKN1A	0.782418609
CDKN1B	-1.362592459
CDKN2A	1.328269243
CEBPA	1.709943771
CEBPD	1.317001462
CENPE	2.315964699
CETN3	-2.282122135
CHEK1	1.360061884
CHN1	-0.107563153
CIRBP	0.596918225
CLTB	0.794799507
CLTC	2.099277735
COL1A1	-0.212146193
COL4A1	-0.789813399
CREB1	-0.089148268
CRK	-4.237015724
CRKL	-0.207618549
CRYZ	1.529334903
CSK	-3.076402664
CSNK1A1	0.664821267
CSNK1E	-0.970419288
CSNK2A2	-0.02049467
CSRP1	1.237369895
CTNND1	-0.376079828
CTSD	-0.279604614
CTSL	4.334095001
CYB561	-1.997106791
DAG1	-0.289378852
DAXX	-1.350120783
DCK	1.015205145
DCTD	-1.338226318
DDB2	-0.928882718
GADD45A	-1.442839742
DDX10	-0.388666242
DECR1	-3.872959614
DFFA	1.538287282
DFFB	0.332489938
DLD	-1.010520935
DNM1	-0.860317051
DNMT1	-1.899534225
DNMT3A	0.353249013
