Gene_Id	mitomycin-c_HCC515_24 h_10 µM
AARS	5.891402721
ABCF1	-1.686227441
ABL1	0.500633657
ACAA1	2.817400455
ACAT2	3.878400326
ACLY	-1.326109648
ADAM10	-1.805840254
ADH5	-2.049809694
PARP1	3.640312195
ADRB2	-0.751066923
AGL	-1.220947504
AKT1	-4.920485497
ALAS1	-4.333967209
ALDOA	-0.773925543
ALDOC	-4.553500652
SLC25A4	-3.012010098
ANXA7	0.836555123
APBB2	-5.423507214
BIRC2	1.855226398
BIRC5	1.838860869
APOE	-3.452504635
APP	-1.021818995
FAS	0.036706667
RHOA	-6.565628052
ARHGAP1	1.333146095
ASAH1	-1.556517839
ATF1	-0.476985991
ATP1B1	2.009415627
ALDH7A1	1.492848277
ATP6V0B	0.302668929
BAD	0.726678729
BAX	3.409184456
CCND1	0.10427475
BCL2	0.30073151
BDH1	-1.017772436
BID	2.275714159
BLMH	1.021315098
BLVRA	0.646018028
BMP4	-2.904966593
BNIP3	-0.071846157
BNIP3L	2.461426735
BPHL	1.425970078
BRCA1	0.358647883
BTK	2.615240097
BUB1B	-2.192832947
C5	3.087728262
DDR1	-2.50822258
CALM3	3.276966572
CALU	-0.362317652
CAPN1	2.462790966
CAST	0.383723438
CASP2	0.706587613
CASP3	2.68059063
CASP7	-0.57844609
CASP10	-0.719596982
CAT	0.014173269
CBLB	-1.424668789
CBR1	1.689864874
CBR3	3.09453249
CCNA2	-1.395503283
CCNB1	3.346567631
CCND3	4.603477478
CCNF	-1.09756434
CCNH	2.549720049
SCARB1	-1.659426928
CD40	2.549331665
CD44	2.329902172
CD58	3.472098112
ADGRE5	-2.214673996
CDK1	1.198982477
CDC20	-0.250904113
CDC25A	1.668387651
CDC25B	2.699649334
CDC42	-1.100963831
CDH3	2.84490037
CDK2	0.436663419
CDK4	3.790773869
CDK6	2.939348221
CDK7	3.325953484
CDKN1A	-3.670286179
CDKN1B	2.236013889
CDKN2A	1.404430866
CEBPA	1.927010775
CEBPD	1.997627258
CENPE	-0.387205511
CETN3	0.89921701
CHEK1	3.828576565
CHN1	1.013494253
CIRBP	-0.273422539
CLTB	3.05598402
