Gene_Id	tert-butylhydroquinone_JURKAT_6 h_1 µM
AARS	-1.094370723
ABCF1	1.135596991
ABL1	-0.486746728
ACAA1	-1.691612005
ACAT2	0.09640801
ACLY	-0.011785075
ADAM10	-0.142169327
ADH5	0.531755149
PARP1	1.001615763
ADRB2	0.06281919
AGL	-0.403245687
AKT1	-1.13886404
ALAS1	-0.719109058
ALDOA	-0.586494207
ALDOC	1.250855803
SLC25A4	-0.751267552
ANXA7	0.53917551
APBB2	3.568992138
BIRC2	0.087463103
BIRC5	1.431497097
APOE	-0.298270434
APP	1.162539721
FAS	-0.20423077
RHOA	-0.19018884
ARHGAP1	0.184347585
ASAH1	0.320017934
ATF1	0.464981377
ATP1B1	-0.760076225
ALDH7A1	-0.08409521
ATP6V0B	-0.30183804
BAD	0.285406321
BAX	-0.15505597
CCND1	-0.525545359
BCL2	0.08560729
BDH1	-0.948412776
BID	1.260463715
BLMH	0.922509015
BLVRA	0.562223732
BMP4	-0.734191954
BNIP3	-0.119059145
BNIP3L	-1.90312314
BPHL	-1.377321839
BRCA1	-0.018309534
BTK	-0.179132268
BUB1B	-0.908528924
C5	-0.130356878
DDR1	-0.211710453
CALM3	0.119017065
CALU	0.508484304
CAPN1	-0.073172003
CAST	-2.673325777
CASP2	0.352710932
CASP3	0.393258274
CASP7	0.488613755
CASP10	-0.438567817
CAT	-0.265115768
CBLB	0.735168576
CBR1	0.043587476
CBR3	-0.010876343
CCNA2	-0.057777405
CCNB1	-0.913163126
CCND3	0.573128104
CCNF	-0.681878328
CCNH	-3.002703667
SCARB1	1.681247354
CD40	2.144072056
CD44	-1.540668607
CD58	-0.598886192
ADGRE5	-0.066619322
CDK1	-0.856023908
CDC20	0.780299306
CDC25A	-0.559141755
CDC25B	1.065523863
CDC42	0.044994742
CDH3	0.26032722
CDK2	1.896839857
CDK4	-0.712888002
CDK6	-1.806871176
CDK7	0.205964983
CDKN1A	1.143749952
CDKN1B	-1.05890131
CDKN2A	0.127096847
CEBPA	-0.485732615
CEBPD	-0.382660747
CENPE	-0.453101456
CETN3	-0.497182906
CHEK1	-0.005082682
CHN1	-0.633577824
CIRBP	0.556116343
CLTB	0.658771396
CLTC	-0.641492069
COL1A1	0.970363021
COL4A1	0.899518311
CREB1	-0.56163609
CRK	-0.878747761
CRKL	-0.794513345
CRYZ	1.577578306
CSK	-0.427609861
CSNK1A1	-0.934425592
CSNK1E	0.490637302
CSNK2A2	0.135553315
CSRP1	-0.10421332
CTNND1	-0.377195805
CTSD	-0.951152921
CTSL	-0.56866312
CYB561	-0.501492858
DAG1	-0.860334158
DAXX	-0.350429505
DCK	0.027058005
DCTD	-2.747727633
DDB2	0.490593195
GADD45A	0.839537442
DDX10	-0.943665385
DECR1	-0.785347998
DFFA	0.365216494
DFFB	-1.36358881
DLD	-0.278614551
DNM1	-0.471280128
DNMT1	-5.306117058
DNMT3A	-0.306974262
DPH2	0.325415373
DSG2	-1.652136803
TSC22D3	-0.232410312
DUSP3	0.479749322
DUSP4	1.406729221
DUSP6	0.274446845
TOR1A	-1.386451721
E2F2	0.506466031
ECH1	-0.707269728
EDN1	0.330985904
EGF	-1.083425164
EGFR	0.165689453
EGR1	-1.089995861
EIF4EBP1	-2.479873419
EIF4G1	0.092211746
EIF5	-0.487328529
ELAVL1	0.003268838
CTTN	0.727674186
EPB41L2	-0.613027453
EPHA3	-1.335184574
EPHB2	-0.032197073
EPRS	0.919112682
NR2F6	0.034207463
ERBB2	-0.819101632
ERBB3	-0.258688569
ETFB	-1.922293425
ETS1	0.205324531
ETV1	1.028909206
EXT1	-0.906737208
EZH2	1.009307981
FAH	2.851980209
PTK2B	2.328874826
FAT1	0.779632866
FDFT1	0.20593065
FGFR2	0.075003088
FGFR4	0.061529532
FHL2	0.240472272
FKBP4	0.004526131
FOXO3	-0.602679551
FOS	0.558590949
FPGS	1.437493205
FUT1	-0.112047404
FYN	0.490679324
SLC37A4	-2.654352188
GAA	-0.502393723
GABPB1	-0.39038834
GALE	0.045593321
GAPDH	0.520681918
GATA2	-0.02802445
GATA3	0.255252421
GFPT1	-1.237013459
GHR	-1.085451961
GLI2	4.768630505
GLRX	-1.752733946
GNA11	-0.345821351
GNA15	-0.526057184
GNAI1	3.77077055
GNAI2	-1.304574966
GNAS	-1.636775255
SFN	-0.485178471
GPC1	-1.076679468
