Gene_Id	tert-butylhydroquinone_JURKAT_6 h_500 nM
AARS	-0.631512672
ABCF1	0.703736529
ABL1	-0.841359317
ACAA1	-1.350255787
ACAT2	-0.486774027
ACLY	-0.738722533
ADAM10	-0.578892455
ADH5	0.100752667
PARP1	-0.026166596
ADRB2	0.948983341
AGL	-0.862289339
AKT1	0.138543829
ALAS1	1.093768656
ALDOA	-1.333861113
ALDOC	-0.354131743
SLC25A4	-0.326720476
ANXA7	-0.882478476
APBB2	0.32641492
BIRC2	1.062096357
BIRC5	-1.287704766
APOE	0.667781174
APP	-0.704256609
FAS	0.797918506
RHOA	-0.54579781
ARHGAP1	1.190959513
ASAH1	-1.260752201
ATF1	0.599440254
ATP1B1	0.864521503
ALDH7A1	-0.968147457
ATP6V0B	-1.240703732
BAD	-0.995624214
BAX	1.13714397
CCND1	-0.716390029
BCL2	-0.235285852
BDH1	-1.76357311
BID	-0.173027843
BLMH	-0.196655974
BLVRA	1.443444431
BMP4	-1.185348988
BNIP3	-2.783345535
BNIP3L	0.073913574
BPHL	-0.583501123
BRCA1	-1.949383378
BTK	1.609411955
BUB1B	0.356051341
C5	-0.933902472
DDR1	0.191525057
CALM3	0.368416131
CALU	-0.323812664
CAPN1	-1.226650089
CAST	-1.536683708
CASP2	-0.877403602
CASP3	0.167794198
CASP7	0.871580184
CASP10	-1.465815663
CAT	1.116815031
CBLB	-0.415970251
CBR1	0.131570004
CBR3	-1.63188985
CCNA2	-0.705286674
CCNB1	0.855302453
CCND3	-1.343966663
CCNF	0.685581177
CCNH	-0.138857365
SCARB1	1.588217616
CD40	-0.017692104
CD44	-0.047610343
CD58	-0.163034469
ADGRE5	-1.147601724
CDK1	-1.167266816
CDC20	0.944013044
CDC25A	0.137555793
CDC25B	-0.51373513
CDC42	0.709008038
CDH3	0.545058317
CDK2	-0.481247887
CDK4	-0.395268112
CDK6	1.162280336
CDK7	-0.934667051
CDKN1A	0.199391674
CDKN1B	0.346300363
CDKN2A	1.242256939
CEBPA	-0.496182859
CEBPD	-1.100775212
CENPE	-0.257844552
CETN3	-0.382470995
CHEK1	0.14424485
CHN1	-0.540372714
CIRBP	-2.290493965
CLTB	-1.110813498
CLTC	-0.683900286
COL1A1	-1.169763461
COL4A1	-1.032042533
CREB1	-0.526437834
CRK	-0.903254032
CRKL	0.511356652
CRYZ	-1.208339632
CSK	-1.033884466
CSNK1A1	0.321796596
CSNK1E	-0.22135745
CSNK2A2	0.85809508
CSRP1	-1.114784569
CTNND1	0.37456939
CTSD	-1.10365209
