Gene_Id	radicicol_HEPG2_24 h_0.04 um
AARS	-0.39877212
ABCF1	0.286803961
ABL1	1.868720651
ACAA1	0.253675252
ACAT2	0.580081284
ACLY	0.61139226
ADAM10	-0.240173027
ADH5	2.666177273
PARP1	-1.05756402
ADRB2	0.756966114
AGL	-0.497417569
AKT1	0.013077483
ALAS1	0.065259799
ALDOA	-0.008502036
ALDOC	-0.005467609
SLC25A4	-0.438698053
ANXA7	0.111325167
APBB2	-1.00763309
BIRC2	-0.041084964
BIRC5	-0.300985366
APOE	-1.046119452
APP	-0.37800917
FAS	0.144207448
RHOA	-0.533960938
ARHGAP1	-0.222448468
ASAH1	0.022995442
ATF1	0.289078742
ATP1B1	0.858208358
ALDH7A1	-0.042205356
ATP6V0B	-0.706495106
BAD	-0.371195376
BAX	0.733545005
CCND1	-0.262671798
BCL2	-0.018133983
BDH1	-0.832448065
BID	-0.265893042
BLMH	0.922608614
BLVRA	-0.168029144
BMP4	-0.152588993
BNIP3	-0.232013121
BNIP3L	-0.727477729
BPHL	-0.218709201
BRCA1	-0.049643576
BTK	0.36517632
BUB1B	-0.10088174
C5	-0.794188023
DDR1	-0.404245138
CALM3	0.482630253
CALU	-0.489736766
CAPN1	-0.276579916
CAST	0.823880732
CASP2	-0.836758375
CASP3	0.518594682
CASP7	0.326966912
CASP10	-0.334111243
CAT	0.202087596
CBLB	-0.389056414
CBR1	0.322004974
CBR3	-1.152793646
CCNA2	-0.035023376
CCNB1	0.20023334
CCND3	-0.575063825
CCNF	1.03500843
CCNH	0.226569146
SCARB1	-0.423549414
CD40	0.028995231
CD44	-0.529697597
CD58	0.374439359
ADGRE5	-0.547605455
CDK1	-0.4917171
CDC20	-1.018298864
CDC25A	0.371533275
CDC25B	-0.053676136
CDC42	-0.545150161
CDH3	-0.103799328
CDK2	0.36396724
CDK4	-0.147272259
CDK6	0.572893143
CDK7	-0.958514333
CDKN1A	0.533730865
CDKN1B	0.426974148
CDKN2A	2.26e-05
CEBPA	-0.25578469
CEBPD	-0.144812062
CENPE	-0.432037503
CETN3	0.009494618
CHEK1	0.13696368
CHN1	-0.81763792
CIRBP	0.11675036
CLTB	-0.018237986
CLTC	-0.62593627
COL1A1	-0.051774897
COL4A1	0.005596854
CREB1	-0.634543538
CRK	-0.606676161
CRKL	0.245443642
CRYZ	-0.371412873
CSK	0.019959457
CSNK1A1	-0.05550538
CSNK1E	-0.453103781
CSNK2A2	-0.347430199
CSRP1	-0.267399937
CTNND1	0.172805279
CTSD	0.155531049
CTSL	-0.473753244
CYB561	0.421989232
DAG1	-0.016017884
DAXX	0.901780367
DCK	0.263569057
DCTD	0.209170923
DDB2	0.216948852
GADD45A	0.386068463
DDX10	-0.41969803
DECR1	0.224384084
DFFA	0.067159384
DFFB	0.208298415
DLD	-0.021921605
DNM1	-0.255808353
DNMT1	0.43396005
DNMT3A	0.732666254
DPH2	-0.710979581
DSG2	0.49732551
TSC22D3	0.07776694
DUSP3	-0.099810645
DUSP4	-0.04057923
DUSP6	-0.026236132
TOR1A	-0.123746708
E2F2	-0.791545749
ECH1	0.069451153
EDN1	0.246304065
EGF	-0.351225436
EGFR	0.212315947
EGR1	3.023175955
EIF4EBP1	-0.24498871
EIF4G1	0.261873722
EIF5	0.642816246
ELAVL1	-0.153588727
CTTN	0.499916196
EPB41L2	0.12390697
EPHA3	-0.12886104
EPHB2	0.036548987
EPRS	0.666027009
NR2F6	-0.860111594
ERBB2	-0.15596202
ERBB3	0.128073707
ETFB	-0.237811476
ETS1	0.175137967
ETV1	-0.172595441
EXT1	3.312314034
EZH2	-0.914242506
FAH	-0.522691131
PTK2B	0.388531327
FAT1	-0.169400394
FDFT1	-0.138027191
FGFR2	0.053388648
FGFR4	-0.155589491
FHL2	-0.588003516
FKBP4	-0.353252709
FOXO3	0.065623939
FOS	0.475708216
FPGS	0.162499398
FUT1	-0.205425143
