Gene_Id	geldanamycin_HEPG2_24 h_0.37 um
AARS	-0.29139033
ABCF1	0.770226598
ABL1	-0.314982206
ACAA1	-0.498619735
ACAT2	-0.02869169
ACLY	-0.621998072
ADAM10	-0.817311764
ADH5	-1.269641638
PARP1	-0.9451859
ADRB2	0.240780145
AGL	-0.659178436
AKT1	0.685911536
ALAS1	0.356057942
ALDOA	0.031601988
ALDOC	-0.979478002
SLC25A4	-0.240349576
ANXA7	-0.332273543
APBB2	-0.58920908
BIRC2	1.058593512
BIRC5	-0.250569522
APOE	0.91109097
APP	-0.373509824
FAS	0.237771735
RHOA	-0.484258443
ARHGAP1	1.334251165
ASAH1	0.197696418
ATF1	0.511524081
ATP1B1	0.257000774
ALDH7A1	-0.330214709
ATP6V0B	-0.232266158
BAD	-0.558791399
BAX	-1.983649969
CCND1	-0.006325912
BCL2	1.400416493
BDH1	0.087312207
BID	-1.665470243
BLMH	-1.236667395
BLVRA	1.229009151
BMP4	0.763770282
BNIP3	-0.201203108
BNIP3L	-0.418616682
BPHL	-0.364024937
BRCA1	-0.075071424
BTK	0.145274907
BUB1B	-0.48220402
C5	-1.121465445
DDR1	-0.246287733
CALM3	-0.893125772
CALU	-0.704860926
CAPN1	-3.581810713
CAST	-0.145070881
CASP2	-0.282205284
CASP3	-0.008492067
CASP7	-0.142155573
CASP10	0.456041873
CAT	0.107822299
CBLB	-0.349804997
CBR1	0.036878802
CBR3	-0.788624763
CCNA2	0.317659557
CCNB1	0.433590293
CCND3	-1.281242371
CCNF	1.290399194
CCNH	1.896754265
SCARB1	-0.811660349
CD40	0.215482086
CD44	-0.536694586
CD58	-0.623090625
ADGRE5	-0.385722756
CDK1	-0.759377599
CDC20	1.446005821
CDC25A	-0.543946624
CDC25B	-1.603597999
CDC42	-0.221097678
CDH3	0.552917719
CDK2	0.236534894
CDK4	-0.37316221
CDK6	0.133368045
CDK7	-0.306723922
CDKN1A	0.447939277
CDKN1B	0.613841057
CDKN2A	-0.36652258
CEBPA	0.299550295
CEBPD	-0.958587289
CENPE	-1.753544331
CETN3	2.170313358
CHEK1	0.170175955
CHN1	-0.253242791
CIRBP	-0.57483536
CLTB	-0.972139478
CLTC	0.035805732
COL1A1	0.78838408
COL4A1	-0.407305539
CREB1	-0.303478003
CRK	0.036712222
CRKL	0.559456944
CRYZ	-0.268069923
CSK	-0.406086057
CSNK1A1	0.834736168
CSNK1E	0.143947423
CSNK2A2	0.330099702
CSRP1	-0.335668147
CTNND1	1.172612786
CTSD	0.311605543
CTSL	0.504868388
CYB561	0.260477245
DAG1	0.284683704
DAXX	-0.1524349
DCK	-0.130289555
DCTD	-1.907225728
DDB2	0.703305662
GADD45A	-0.402105808
DDX10	0.132429376
DECR1	0.590271294
DFFA	-0.456617951
DFFB	-0.21540603
