Gene_Id	geldanamycin_HEPG2_24 h_1.11 um
AARS	-4.904618263
ABCF1	0.646894693
ABL1	-2.316646099
ACAA1	-0.073237807
ACAT2	0.202908158
ACLY	1.058430314
ADAM10	-2.744577885
ADH5	-0.222956151
PARP1	-3.874251366
ADRB2	3.083283663
AGL	0.582344532
AKT1	0.507092059
ALAS1	0.414045811
ALDOA	-3.412168026
ALDOC	-1.067623138
SLC25A4	-0.152402133
ANXA7	-0.96174705
APBB2	-0.792852163
BIRC2	-1.032905936
BIRC5	1.104504347
APOE	1.380813956
APP	-4.580934048
FAS	-1.673579931
RHOA	1.510003686
ARHGAP1	0.453752339
ASAH1	0.854371071
ATF1	2.918941021
ATP1B1	-2.295325041
ALDH7A1	0.184312984
ATP6V0B	-2.313362122
BAD	-2.114104271
BAX	1.256816983
CCND1	-1.859163523
BCL2	2.55203557
BDH1	-4.289463043
BID	-0.472135127
BLMH	2.200764894
BLVRA	0.48439157
BMP4	2.610359669
BNIP3	2.73516345
BNIP3L	0.243816778
BPHL	-5.160261154
BRCA1	2.218142271
BTK	-0.648123503
BUB1B	-0.461394846
C5	0.504578412
DDR1	3.091661453
CALM3	-0.429263175
CALU	0.88029331
CAPN1	0.197529361
CAST	-2.10089159
CASP2	-1.949663639
CASP3	-1.993640542
CASP7	0.392674178
CASP10	3.373855352
CAT	0.440505624
CBLB	1.75635469
CBR1	1.230016112
CBR3	-2.115724564
CCNA2	-0.720613956
CCNB1	0.700878739
CCND3	-2.727694988
CCNF	2.897793293
CCNH	0.234505937
SCARB1	0.817772627
CD40	-0.57067883
CD44	1.030188441
CD58	-4.129146099
ADGRE5	2.78824234
CDK1	-1.25024724
CDC20	0.723503232
CDC25A	-3.051105261
CDC25B	1.622228384
CDC42	-2.476123571
CDH3	1.469742537
CDK2	-4.058428288
CDK4	2.337633848
CDK6	-0.464634597
CDK7	-0.407646716
CDKN1A	1.497744679
CDKN1B	-0.604012251
CDKN2A	1.104505301
CEBPA	2.464764118
CEBPD	0.355877638
CENPE	1.964148045
CETN3	-0.686692655
CHEK1	2.180119753
CHN1	-1.641192555
CIRBP	0.405974269
CLTB	-0.396165341
CLTC	1.132853985
COL1A1	-0.862739205
COL4A1	-2.147526741
CREB1	-0.789608061
CRK	-3.410411596
CRKL	0.303710043
CRYZ	0.597574115
CSK	-3.174653769
CSNK1A1	2.9957757
CSNK1E	-0.076344952
CSNK2A2	0.582928836
CSRP1	1.200020313
CTNND1	0.378036648
CTSD	0.309468746
CTSL	3.616413116
CYB561	-0.443951994
DAG1	0.35052675
DAXX	-1.401349902
DCK	0.395791769
DCTD	1.067147851
DDB2	0.393366039
GADD45A	-1.455827713
DDX10	-0.973207057
DECR1	-2.939781904
DFFA	0.628707767
DFFB	-0.19851844
DLD	3.063960314
DNM1	-0.121662393
DNMT1	-0.813951731
DNMT3A	1.315581799
DPH2	0.317222536
DSG2	1.171634197
TSC22D3	-0.071317092
DUSP3	1.784574509
DUSP4	-1.963409424
DUSP6	0.226194486
TOR1A	-0.432722181
E2F2	0.374947727
ECH1	3.047512531
EDN1	-0.551407814
EGF	-0.346058905
EGFR	0.51435101
EGR1	-0.867092371
EIF4EBP1	-0.811618268
EIF4G1	2.25306654
EIF5	1.916006565
ELAVL1	-0.589266181
CTTN	1.655604839
EPB41L2	0.821673751
EPHA3	0.682910502
