Gene_Id	radicicol_HEPG2_24 h_3.33 um
AARS	-3.516811848
ABCF1	0.306265533
ABL1	-3.107696295
ACAA1	-1.056304336
ACAT2	1.079459548
ACLY	-0.311038136
ADAM10	-3.209867954
ADH5	3.437443018
PARP1	-0.060684808
ADRB2	2.802004337
AGL	0.890632808
AKT1	-0.611408472
ALAS1	0.207693949
ALDOA	-3.100090265
ALDOC	0.135610014
SLC25A4	-0.897368073
ANXA7	-1.085392594
APBB2	-1.202518582
BIRC2	-3.119793892
BIRC5	1.968665481
APOE	2.227761984
APP	-4.30254221
FAS	-2.441846848
RHOA	0.965506077
ARHGAP1	-0.217663199
ASAH1	1.376460075
ATF1	2.433095455
ATP1B1	-3.018398762
ALDH7A1	1.895766616
ATP6V0B	-0.960267782
BAD	-1.722256541
BAX	2.520730019
CCND1	-3.184496403
BCL2	3.139847755
BDH1	-2.735952377
BID	0.400514126
BLMH	1.331361294
BLVRA	-0.442892373
BMP4	3.120585442
BNIP3	3.565467834
BNIP3L	0.331512064
BPHL	-4.652281761
BRCA1	-0.872683048
BTK	-0.218671799
BUB1B	0.168868899
C5	2.662155867
DDR1	3.069678783
CALM3	-0.206623524
CALU	0.238816753
CAPN1	-2.896470308
CAST	-1.557241678
CASP2	-1.946080685
CASP3	-2.845897436
CASP7	-0.731720686
CASP10	3.800701141
CAT	-0.923229635
CBLB	2.441522121
CBR1	1.159927249
CBR3	0.049536169
CCNA2	0.716709733
CCNB1	-0.765099823
CCND3	-2.665323257
CCNF	-1.817133188
CCNH	-0.401457012
SCARB1	0.594063699
CD40	-0.304631293
CD44	3.06313467
CD58	-4.555500031
ADGRE5	3.099198103
CDK1	-0.667796135
CDC20	0.038890392
CDC25A	-3.757940292
CDC25B	1.891347766
CDC42	-3.536486387
CDH3	1.937307596
CDK2	-2.979361057
CDK4	3.222814798
CDK6	0.991458237
CDK7	0.437934458
CDKN1A	2.590172768
CDKN1B	-0.154847294
CDKN2A	2.50615263
CEBPA	3.392760277
CEBPD	1.281777024
CENPE	3.129771709
CETN3	-3.615676165
CHEK1	3.572696686
CHN1	-0.711167395
CIRBP	0.743146062
CLTB	-0.126638293
CLTC	0.876105905
COL1A1	0.026639089
COL4A1	-1.658797264
CREB1	0.886950076
CRK	-4.533011436
CRKL	1.935347795
CRYZ	0.954903126
CSK	-2.534198284
CSNK1A1	2.770169258
CSNK1E	-0.008992486
CSNK2A2	0.392851233
CSRP1	0.9798913
CTNND1	-0.224509954
CTSD	1.254458666
CTSL	4.723950386
CYB561	-0.721124768
DAG1	0.15392518
DAXX	-1.207797885
DCK	0.575513542
DCTD	1.440787911
DDB2	-0.401010066
GADD45A	-1.376119494
DDX10	-1.080732703
DECR1	-3.742848158
DFFA	1.122763634
DFFB	-0.481851488
DLD	-0.321140766
DNM1	1.62826848
DNMT1	-2.329786539
DNMT3A	-0.04048533
DPH2	1.176307678
DSG2	1.781151891
TSC22D3	0.368991852
DUSP3	2.189105511
DUSP4	-1.566432476
DUSP6	3.886432648
TOR1A	0.055428393
E2F2	0.389058024
ECH1	2.405404091
EDN1	-1.380035162
EGF	-0.650146842
EGFR	-0.446944565
EGR1	-0.278162032
EIF4EBP1	-0.696405351
EIF4G1	1.953739285
EIF5	2.649841785
ELAVL1	-0.960808277
CTTN	0.967722237
EPB41L2	2.21529007
EPHA3	0.056786478
EPHB2	-0.938910663
EPRS	-0.309165537
NR2F6	2.656906605
ERBB2	1.26748991
ERBB3	0.395040572
ETFB	2.159328461
ETS1	3.662684917
ETV1	1.610118628
EXT1	3.969147921
EZH2	-1.415922403
FAH	1.714054108
PTK2B	1.743875504
FAT1	-1.148867249
FDFT1	1.16680491
FGFR2	-2.519325256
FGFR4	-0.276220471
FHL2	-1.213118315
FKBP4	-2.657568216
FOXO3	-1.526159406
FOS	0.319561541
FPGS	0.798161864
FUT1	0.317420483
FYN	-2.762789011
SLC37A4	0.052397348
GAA	-0.353793979
GABPB1	-3.125569582
GALE	-4.236686707
GAPDH	1.036772013
GATA2	-2.824068785
GATA3	0.201464057
GFPT1	-5.962560654
GHR	-1.567208648
GLI2	-0.514937937
GLRX	-1.464656472
GNA11	-0.739416182
GNA15	0.90355885
GNAI1	-0.706822395
GNAI2	-1.01699841
GNAS	-1.068234444
SFN	2.387170315
GPC1	-3.344789505
GPER1	2.434421778
GRB7	-0.624817193
GRB10	-2.052398443
GRN	2.334891558
NR3C1	0.545089185
CXCL2	1.280855536
GSTM2	-0.176405653
GSTZ1	-2.902388096
MSH6	1.474825501
GTF2A2	0.886847913
GTF2E2	-2.791023731
HSD17B10	0.193922311
HADH	-1.846388698
HDAC2	1.054481983
HIF1A	0.253220201
HK1	0.054651737
HLA-DMA	-1.529031157
HLA-DRA	1.153484106
HMGCR	-1.198953629
HMGCS1	-0.309401184
HMOX1	-0.004386991
HOXA5	0.658370197
HOXA10	1.243545651
HPRT1	0.143897012
HES1	-1.927410007
DNAJB2	1.463897944
HSPA1A	2.152057409
HSPA4	-3.615078449
HSPA8	1.682706594
HSPB1	3.217735291
HSPD1	1.614490747
DNAJB1	0.780661643
ICAM1	-0.125970542
ICAM3	3.832012653
ID2	3.352221966
IDE	-2.164270401
IFNAR1	-0.473307759
IGF1R	1.90241909
IGF2R	-3.224539995
IGFBP3	-0.601367235
IGHMBP2	0.295673996
IKBKB	2.818471193
IL1B	1.585561514
IL4R	0.419613898
IL13RA1	0.268246263
ILK	-3.554572582
INPP1	0.975113153
INSIG1	1.910762906
ITGAE	-0.426915288
ITGB5	-0.909633756
JUN	-2.558175802
KCNK1	0.621594906
KIF5C	1.66588068
KIT	4.44975996
KTN1	1.718368769
LAMA3	2.194719076
STMN1	-0.09742187
LBR	0.181659281
LGALS8	0.547022045
LIG1	-0.35972929
LIPA	-3.270844936
LOXL1	-0.299447387
LRPAP1	-0.051162377
LYN	-3.316473246
SMAD3	-0.405912608
MAN2B1	-0.245012179
MAT2A	-0.391124874
MBNL1	-1.996033072
MCM3	-0.041008368
ME2	0.120365836
MEF2C	6.428102016
MAP3K4	0.616667032
MEST	0.503352404
MIF	-1.014411688
FOXO4	-0.767379463
MMP1	-0.176307365
MMP2	1.279114246
MNAT1	-0.936126351
MSRA	-2.185138702
MUC1	-1.301228523
MYBL2	0.821129203
MYC	0.298016846
GADD45B	-0.113977924
MYLK	-0.773760319
MYO10	-0.67516011
NCK1	1.163886309
NFATC3	-1.91442132
NFATC4	0.323019892
NFE2L2	1.877981544
NFIL3	-0.737909913
NFKB2	-2.981465101
NFKBIA	-2.794352055
NFKBIB	2.501588345
NFKBIE	-2.465880871
NIT1	-0.831232429
NMT1	3.033242226
NOS3	0.396605372
CNOT4	-1.879799128
NOTCH1	0.707800686
PNP	-0.731984437
NPC1	1.253244281
SLC11A2	0.012426723
NRAS	2.402431726
NUCB2	-0.034384273
NUP88	-2.430325747
NVL	-6.357837677
ORC1	2.984314203
