Gene_Id	tert-butylhydroquinone_JURKAT_6 h_100 nM
AARS	-0.98260957
ABCF1	-0.151273519
ABL1	-0.639563084
ACAA1	-0.931998372
ACAT2	1.196811557
ACLY	-0.08575885
ADAM10	-0.814868808
ADH5	-0.04473142
PARP1	-0.749863505
ADRB2	-2.7574265
AGL	-0.600931883
AKT1	-0.917155683
ALAS1	0.590956151
ALDOA	-1.634667516
ALDOC	-0.672568738
SLC25A4	0.359735638
ANXA7	0.326587439
APBB2	0.450944662
BIRC2	0.614266932
BIRC5	-0.566049099
APOE	1.632905006
APP	-1.000773072
FAS	2.296532869
RHOA	-0.740042806
ARHGAP1	1.373180032
ASAH1	-1.621825576
ATF1	-0.012569591
ATP1B1	0.844536126
ALDH7A1	-0.482953072
ATP6V0B	-1.065149307
BAD	-2.051217079
BAX	2.395368576
CCND1	-0.688285112
BCL2	-0.412953168
BDH1	-0.002923863
BID	-1.394855618
BLMH	-0.287141919
BLVRA	0.116254322
BMP4	-1.076432943
BNIP3	-1.535848856
BNIP3L	-1.202066422
BPHL	-0.469285727
BRCA1	-3.163139343
BTK	0.604383588
BUB1B	0.328398138
C5	-0.514993548
DDR1	0.802915692
CALM3	-0.656814575
CALU	1.599650502
CAPN1	-1.161486149
CAST	-1.821081281
CASP2	0.257135719
CASP3	-0.074335381
CASP7	1.05199194
CASP10	-1.096698046
CAT	0.230518997
CBLB	0.866456628
CBR1	0.789640605
CBR3	-1.639627576
CCNA2	-0.556793094
CCNB1	0.717930436
CCND3	-0.530456185
CCNF	0.577761114
CCNH	1.370258212
SCARB1	1.681481361
CD40	-1.233459949
CD44	2.521308899
CD58	0.346673071
ADGRE5	-0.640268326
CDK1	-1.447277188
CDC20	1.19757998
CDC25A	0.090106323
CDC25B	0.113377631
CDC42	-0.633408904
CDH3	-1.062345743
CDK2	-0.071374573
CDK4	-0.430479884
CDK6	1.363037348
CDK7	-0.730782032
CDKN1A	0.388846695
CDKN1B	0.00069607
CDKN2A	0.834185004
CEBPA	-0.066759497
