Gene_Id	geldanamycin_HEPG2_24 h_0.04 um
AARS	-0.794702291
ABCF1	0.217460439
ABL1	-0.190876961
ACAA1	1.30874908
ACAT2	-0.623522282
ACLY	-1.648315191
ADAM10	0.273863852
ADH5	9.838504791
PARP1	-0.573073089
ADRB2	0.407922447
AGL	0.650880516
AKT1	-2.1386168
ALAS1	-1.429637432
ALDOA	-0.140161693
ALDOC	0.828297138
SLC25A4	-0.41985625
ANXA7	0.68229264
APBB2	-0.061801791
BIRC2	-0.499394923
BIRC5	0.768178046
APOE	-0.462547004
APP	0.698073983
FAS	1.504805326
RHOA	0.333461344
ARHGAP1	-1.087142468
ASAH1	0.403571159
ATF1	0.994814396
ATP1B1	-0.399127245
ALDH7A1	1.730604172
ATP6V0B	0.519691169
BAD	0.424823105
BAX	0.966828108
CCND1	0.644551754
BCL2	1.344264269
BDH1	0.118155792
BID	0.484353691
BLMH	0.318122327
BLVRA	-0.746612012
BMP4	-0.128901362
BNIP3	0.077601865
BNIP3L	-1.988865852
BPHL	0.827787101
BRCA1	0.671046376
BTK	-0.775467098
BUB1B	0.7142995
C5	1.486095071
DDR1	-0.346043915
CALM3	-0.645041168
CALU	0.994612575
CAPN1	0.492031097
CAST	0.137199402
CASP2	0.117392808
CASP3	-0.416153967
CASP7	-0.738339424
CASP10	0.651398778
CAT	-0.781090736
CBLB	0.668436646
CBR1	-0.530614734
CBR3	0.497473538
CCNA2	0.633699536
CCNB1	-0.775833488
CCND3	0.526584148
CCNF	0.369212717
CCNH	-0.483846813
SCARB1	0.384237587
CD40	0.889635563
CD44	1.827324748
CD58	0.293593228
ADGRE5	-0.234082341
CDK1	0.549406052
CDC20	0.243032143
CDC25A	0.139280856
CDC25B	0.485347629
CDC42	0.545562029
CDH3	-0.415185302
CDK2	0.708161891
CDK4	0.832907438
CDK6	-0.132146657
CDK7	0.366296083
CDKN1A	0.890380859
CDKN1B	0.306557477
CDKN2A	-1.398049593
CEBPA	0.499308974
CEBPD	0.82069838
CENPE	-0.089244291
CETN3	-0.412953615
CHEK1	1.129998565
CHN1	0.634381175
CIRBP	0.450256109
CLTB	0.619493961
CLTC	0.607081532
COL1A1	7.238554478
COL4A1	1.10129559
CREB1	0.320892274
CRK	2.050626278
CRKL	-1.102968812
CRYZ	0.624788463
CSK	-0.295388788
CSNK1A1	-1.689504862
CSNK1E	0.693975687
CSNK2A2	-0.806466699
CSRP1	0.665759563
CTNND1	-2.287305355
CTSD	0.702462018
CTSL	0.835324287
CYB561	-1.098871589
DAG1	-0.404243976
DAXX	-0.512422562
DCK	1.039233923
DCTD	1.144033194
DDB2	-1.491850615
GADD45A	0.458286881
DDX10	0.772606492
DECR1	-0.429930091
DFFA	0.741657138
DFFB	1.117389917
DLD	-0.437917411
DNM1	0.245745435
DNMT1	0.539252639
DNMT3A	-0.759799719
DPH2	0.662848234
DSG2	0.758723497
TSC22D3	0.813535273
DUSP3	0.292142719
DUSP4	-0.128378302
DUSP6	-0.664328456
TOR1A	-2.947813034
E2F2	0.287054896
ECH1	1.263635516
EDN1	1.196349859
EGF	0.169193506
EGFR	-1.206360579
EGR1	-0.896157742
EIF4EBP1	-0.018316001
EIF4G1	-0.518806636
EIF5	0.805283308
ELAVL1	0.963569522
CTTN	0.648173571
EPB41L2	0.145937905
EPHA3	-1.193294168
EPHB2	-0.979015231
EPRS	1.272591949
NR2F6	0.359868109
ERBB2	-0.633030534
ERBB3	-1.57030201
ETFB	-1.478169203
ETS1	1.194164276
ETV1	-0.754672527
EXT1	0.3368361
EZH2	-0.606191039
FAH	0.447659403
PTK2B	1.326040268
FAT1	0.806357503
FDFT1	0.542467833
FGFR2	0.650673926
FGFR4	1.981169701
FHL2	0.506896853
FKBP4	0.348135382
FOXO3	-1.465752602
FOS	-0.614420176
FPGS	1.347577095
FUT1	-0.64157927
FYN	0.093547165
SLC37A4	-0.61336416
GAA	-1.562115908
GABPB1	1.0403409
GALE	0.922331452
GAPDH	-0.643727303
GATA2	0.10395804
GATA3	-0.404788852
GFPT1	0.69720161
GHR	-0.56941092
GLI2	-0.387773603
GLRX	-0.703555167
GNA11	-0.788735628
GNA15	-0.210258663
GNAI1	1.285932422
GNAI2	0.490975112
GNAS	0.518566906
SFN	0.104869127
GPC1	0.437190354
GPER1	0.01129391
GRB7	0.629286408
GRB10	-0.709141016
GRN	0.350853056
NR3C1	0.701031208
CXCL2	-0.796361923
GSTM2	-1.000795603
GSTZ1	0.570284069
MSH6	-0.787602603
GTF2A2	-0.084951274
GTF2E2	0.018549621
HSD17B10	0.240120068
HADH	0.321210444
HDAC2	-1.536010027
HIF1A	-0.569833219
HK1	-0.914134741
HLA-DMA	-1.777876854
HLA-DRA	0.816555142
HMGCR	-0.691260457
HMGCS1	-0.998356462
HMOX1	1.070200801
HOXA5	0.659263372
HOXA10	0.435755342
HPRT1	-1.435377359
HES1	-2.09600544
DNAJB2	0.855696619
HSPA1A	-0.19608961
HSPA4	-1.012805462
HSPA8	0.933329344
HSPB1	0.789038241
HSPD1	0.425072253
DNAJB1	-0.515563607
ICAM1	-0.004408818
ICAM3	0.248169512
ID2	0.898266077
IDE	0.320221722
IFNAR1	-0.793635845
IGF1R	0.831427455
IGF2R	-0.109648198
IGFBP3	0.999868751
IGHMBP2	-0.221111178
IKBKB	0.961495817
IL1B	-0.968910813
IL4R	-3.694240332
IL13RA1	-1.174991131
ILK	-4.523805618
INPP1	0.776493907
INSIG1	0.18040216
ITGAE	-0.456432879
ITGB5	0.669070959
JUN	-0.080348358
KCNK1	0.06300661
KIF5C	0.446015269
KIT	5.125370979
KTN1	0.986803293
LAMA3	-0.692505538
STMN1	-1.075898647
LBR	-0.927965403
LGALS8	-1.091938972
LIG1	0.976183176
LIPA	0.773632169
LOXL1	-0.352724791
LRPAP1	3.677050829
LYN	0.563251436
SMAD3	-2.035392523
MAN2B1	0.414790094
MAT2A	-1.02699399
MBNL1	0.621172309
MCM3	0.683188915
ME2	-0.997935176
MEF2C	9.602256775
MAP3K4	-0.634716988
MEST	-0.963166416
MIF	0.705744386
FOXO4	0.412900805
MMP1	-1.250850081
MMP2	0.159918547
MNAT1	1.063155174
MSRA	0.909056485
MUC1	-0.580275834
MYBL2	-0.714081645
MYC	-0.385205865
GADD45B	0.184514076
MYLK	-1.356781244
MYO10	0.952964544
NCK1	1.017520905
NFATC3	-0.317553163
NFATC4	0.968664885
NFE2L2	-1.013781905
NFIL3	0.629131198
NFKB2	0.404261976
NFKBIA	0.703813553
NFKBIB	0.125552803
NFKBIE	0.741907239
NIT1	-1.256934881
NMT1	-0.189861536
NOS3	-1.529320598
CNOT4	0.874494851
NOTCH1	-0.041217353
PNP	0.504929423
NPC1	0.748657167
SLC11A2	-0.242436841
NRAS	0.2428983
NUCB2	-1.034186244
NUP88	0.52317661
NVL	-0.092001602
ORC1	-0.291043818
OXA1L	0.167137325
OXCT1	-0.276637137
PAFAH1B1	0.732700348
PAFAH1B3	-0.183152795
SERPINE1	0
PAK1	0.268584907
PCBD1	-0.176248729
PCCB	0.054331407
PCK2	0.565908313
PCM1	0.14550209
PCMT1	-1.527276993
PCNA	-0.660571992
