Gene_Id	tert-butylhydroquinone_JURKAT_24 h_500 nM
AARS	1.742585778
ABCF1	-0.223352864
ABL1	-0.16241445
ACAA1	0.100147592
ACAT2	-0.464065291
ACLY	0.195242666
ADAM10	0.452962004
ADH5	0.370868325
PARP1	0.466360077
ADRB2	-0.230770409
AGL	0.823459446
AKT1	0.363882959
ALAS1	-0.013724633
ALDOA	-0.946330477
ALDOC	-0.792411983
SLC25A4	0.291166648
ANXA7	1.491279013
APBB2	0.065290302
BIRC2	0.316265376
BIRC5	-0.159611285
APOE	0.545135409
APP	0.203612298
FAS	-0.230736926
RHOA	-0.488051701
ARHGAP1	-0.115700118
ASAH1	-0.407104939
ATF1	-0.10186277
ATP1B1	-0.008809336
ALDH7A1	0.036426693
ATP6V0B	0.27797211
BAD	-0.048451185
BAX	-0.145249844
CCND1	-0.092277646
BCL2	0.340050399
BDH1	-0.589993864
BID	0.361996338
BLMH	0.241524087
BLVRA	0.509338796
BMP4	-0.00296489
BNIP3	-0.754928559
BNIP3L	-0.355069712
BPHL	0.099769399
BRCA1	-1.406565234
BTK	-0.177101843
BUB1B	0.428344026
C5	-0.046475381
DDR1	0.07140217
CALM3	0.183126889
CALU	0.047721207
CAPN1	0.131673336
CAST	0.059779301
CASP2	0.088897288
CASP3	0.408487052
CASP7	-0.439086929
CASP10	0.647486106
CAT	0.665016562
CBLB	-0.184857085
CBR1	0.22524865
CBR3	0.418148004
CCNA2	0.542684682
CCNB1	-0.74543342
CCND3	0.542907566
CCNF	-0.460946664
CCNH	-0.321078435
SCARB1	0.383017112
CD40	-0.029681969
CD44	-0.219431996
CD58	-0.776565075
ADGRE5	0.385887556
CDK1	0.170108743
CDC20	-0.943591118
CDC25A	0.537375689
CDC25B	1.922504798
CDC42	-0.356872994
CDH3	-0.019774348
CDK2	0.109306633
CDK4	0.282101601
CDK6	-0.318115965
CDK7	0.60437952
CDKN1A	1.532191664
CDKN1B	0.374846444
CDKN2A	0.294242058
CEBPA	0.150586143
CEBPD	0.01677154
CENPE	-0.005698897
CETN3	0.392464373
CHEK1	-1.315703452
CHN1	0.405817822
CIRBP	-0.384480774
CLTB	0.351534605
CLTC	0.703390032
COL1A1	0.089285836
COL4A1	0.398487166
CREB1	-0.919109583
CRK	-0.225562349
CRKL	0.140352271
CRYZ	0.066994935
CSK	0.201578416
CSNK1A1	-0.483144805
CSNK1E	0.713352323
CSNK2A2	-0.410184324
CSRP1	-0.008582652
CTNND1	-0.271971893
CTSD	0.518136069
CTSL	-0.287498482
CYB561	-0.848629996
DAG1	0.076951876
DAXX	-0.779766425
DCK	0.188238159
DCTD	-0.119308744
DDB2	-3.514429986
GADD45A	0.598980024
DDX10	0.355716281
DECR1	-0.120715965
DFFA	-0.877177417
DFFB	1.081237167
DLD	-0.554178998
DNM1	0.563998908
DNMT1	-0.535773158
DNMT3A	0.357105613
DPH2	0.392068878
DSG2	-0.203416944
TSC22D3	2.079449087
DUSP3	-0.046331409
DUSP4	-0.376539007
DUSP6	0.133200273
TOR1A	-0.084865928
E2F2	-0.126721039
ECH1	-0.689745486
EDN1	0.093587518
EGF	0.004901528
EGFR	-0.10426721
EGR1	-0.644241244
EIF4EBP1	0.070632771
EIF4G1	0.186386913
EIF5	0.095359743
ELAVL1	0.272836238
CTTN	-0.084146574
EPB41L2	-0.487883445
EPHA3	-0.045337036
EPHB2	-0.239351984
EPRS	-1.349509288
NR2F6	-0.077173322
ERBB2	0.213351928
ERBB3	-0.305318005
ETFB	-0.53728408
ETS1	0.617529631
ETV1	-0.034149408
EXT1	-0.099138081
EZH2	-0.105263241
FAH	0.354159839
PTK2B	0.630555958
FAT1	1.155077159
FDFT1	0.010854602
FGFR2	0.376598716
FGFR4	0.121421218
FHL2	0.550560012
FKBP4	0.193533301
FOXO3	-0.225715965
FOS	-0.398164883
FPGS	0.376250155
FUT1	-0.52502872
FYN	-0.486678131
SLC37A4	0.675823778
GAA	-0.031532362
GABPB1	-0.428056866
GALE	0.227833964
GAPDH	0.179400593
GATA2	0.59192282
GATA3	0.082534634
GFPT1	-0.116823122
GHR	-0.210098639
GLI2	-0.188318484
GLRX	-1.60519769
GNA11	-0.165907145
GNA15	0.113490365
GNAI1	0.219483092
GNAI2	0.158044547
GNAS	0.075669952
SFN	-0.216312096
GPC1	-1.333910778
GPER1	-0.177207578
GRB7	0.316087265
GRB10	-0.106383696
GRN	-0.219277978
NR3C1	0.408410504
CXCL2	-0.218735322
GSTM2	0.02604438
GSTZ1	-0.086330151
MSH6	0.61321342
GTF2A2	0.058815986
GTF2E2	-0.086675517
HSD17B10	0.619082615
HADH	0.080499873
HDAC2	-0.086921021
HIF1A	-0.338896751
HK1	-0.142973386
HLA-DMA	0.025007159
HLA-DRA	-0.077789456
HMGCR	-0.136677131
HMGCS1	-0.07855843
HMOX1	0.304464236
HOXA5	0.079456348
HOXA10	-0.012412369
HPRT1	-0.01282239
HES1	1.455827933
DNAJB2	0.616152108
HSPA1A	0.524988202
HSPA4	-0.774300102
HSPA8	-0.116509933
HSPB1	-0.056427032
HSPD1	-0.59898439
DNAJB1	-0.150235314
ICAM1	-0.081408359
ICAM3	0.214556441
ID2	0.265715264
IDE	0.259318262
IFNAR1	0.316193074
IGF1R	-0.423930436
IGF2R	-0.216261692
IGFBP3	-1.400691539
IGHMBP2	-0.066155935
IKBKB	0.138036065
IL1B	0.204184353
IL4R	0.283908263
IL13RA1	-0.167046547
ILK	0.390670955
INPP1	-0.262830054
INSIG1	-0.527357817
ITGAE	0.009993263
ITGB5	0.337271664
JUN	0.178015612
KCNK1	-0.015071601
KIF5C	-0.02163513
KIT	-0.432609379
KTN1	0.415936649
LAMA3	0.527687639
STMN1	-0.000801474
LBR	-0.019847505
LGALS8	0.331299316
LIG1	-0.722484663
LIPA	1.776013236
LOXL1	0.221881047
LRPAP1	0.123601386
LYN	0.578730255
SMAD3	0.583921768
MAN2B1	0.207130611
MAT2A	-0.076166321
MBNL1	-0.358996361
MCM3	-0.068189889
ME2	0.168782473
MEF2C	0.250025243
MAP3K4	0.688937828
MEST	0.162695345
MIF	-0.22248134
FOXO4	-0.2560848
MMP1	-0.152756415
MMP2	0.162448172
MNAT1	0.172742277
MSRA	-0.12931028
MUC1	0.408211693
MYBL2	0.414613612
MYC	-0.201073021
GADD45B	-0.13226673
MYLK	0.210664123
MYO10	-0.12630187
NCK1	-0.016364133
NFATC3	1.553177357
NFATC4	-0.288350567
NFE2L2	-0.109767139
NFIL3	0.382228896
NFKB2	-0.692123502
NFKBIA	0.336623773
NFKBIB	-0.070226535
NFKBIE	0.07473281
NIT1	0.025443792
NMT1	-0.0424833
NOS3	0.091539048
CNOT4	0.40644452
NOTCH1	-0.416104168
PNP	0.730482601
NPC1	-0.736987457
SLC11A2	0.049819954
NRAS	0.697083965
NUCB2	-0.243824109
NUP88	0.157577999
NVL	0.323653698
ORC1	-1.252779484
OXA1L	-0.814017594
OXCT1	0.116989132
PAFAH1B1	2.49364987
PAFAH1B3	0.039755598
SERPINE1	0.22154272
PAK1	-0.00250224
PCBD1	-0.50981015
PCCB	0.617358863
PCK2	0.400163464
PCM1	0.185277164
PCMT1	-0.134714838
PCNA	-0.228645265
PDGFA	1.021199554
PFKL	0.048204809
PGAM1	0.279818311
PGM1	-0.433953762
PHKA1	0.047068164
PHKB	0.15874055
PHKG2	-1.383756876
PIK3C2B	-1.488131434
PIK3C3	0.237484008
PIK3CA	0.394494981
PIN1	0.757417649
PLA2G4A	0.193933543
PLCB3	-0.517426223
PLK1	0.201046705
PLP2	-0.090375053
PLS1	0.47935769
PLSCR1	0.068675563
PMAIP1	0.729123518
PMM2	0.282356799
POLB	-0.103362426
POLE2	0.989180833
POLR2I	0.842926055
POLR2K	0.657605678
PPARD	-0.340326309
PPARG	0.204321742
PPIC	-0.664166093
PPOX	0.250796303
PPP2R5A	-0.660389241
PPP2R5E	-0.087681204
PRCP	1.888522893
PRKACA	-0.243299253
PRKCD	0.064441264
PRKCH	-0.300668336
PRKCQ	-0.292177573
MAPK9	-0.264412612
MAPK13	0.419395566
MAP2K5	1.757503644
PRKX	-0.457178526
PROS1	0.047265723
LGMN	0.482093409
HTRA1	-0.325142652
PSMB8	-0.108958192
PSMB10	0.259794742
PSMD2	0.251432046
PSMD4	-0.014307819
PSMD9	0.026101563
PSMD10	0.381458804
PSME1	0.206601299
PSME2	0.053377554
PTGS2	-2.487119809
PTK2	0.767811358
PTPN1	-0.005133588
PTPN6	0.429641664
PTPN12	0.103426963
PTPRC	0.386752129
PTPRF	-0.837180212
PTPRK	-1.474955074
PXMP2	-0.242100675
PXN	0.353241503
PYCR1	0.186222002
PYGL	-0.604898542
RAB4A	-0.168427736
RAB27A	1.414937064
RAC2	-0.611355811
RAD9A	-1.018520758
RAD51C	0.465737399
MOK	-0.07796365
RALA	-0.364653036
RALB	0.549593002
RALGDS	-0.029105783
RAP1GAP	1.129550619
RASA1	0.205334473
RB1	-0.697308779
KDM5A	-0.175153732
RELB	0.510506436
RFC2	-0.219761122
RFC5	-0.135720655
RFNG	-0.210256424
RFX5	-1.456921596
RGS2	-0.58711645
RHEB	0.140648946
RNH1	0.087217093
RPA1	-0.04722409
RPA2	-0.50512594
RPA3	-0.016626803
MRPL12	0.25903894
RPN1	0.028331369
RPS5	-0.743135273
RPS6	-0.155288421
RPS6KA1	-0.197820798
RSU1	-0.398851486
RTN2	0.26064676
S100A4	0.077531047
S100A13	0.412682429
SATB1	-0.662644073
SCP2	0.530441631
CCL2	0.825146202
SDHB	-0.096609935
SGCB	0.232701123
SHB	0.901561946
SHC1	-0.040245958
SKIV2L	0.986877248
SKP1	0.050902039
SLC1A4	-0.67301546
SMARCA4	0.373241998
SMARCC1	0.167421103
SMARCD2	-0.027496733
SNAP25	0.354146942
SNCA	-0.589720041
SOX2	0.19890967
SOX4	-0.342910811
SPAG4	0.23162061
SPP1	0.272931159
SPR	-0.00089255
SPTAN1	0.416457392
SRC	0.217347264
STAT1	1.058967121
STAT3	0.377833039
STAT5B	1.02505219
AURKA	0.139846906
STK10	-0.240738042
STX1A	0.07246149
STX4	0.008501932
STXBP1	0.207117707
STXBP2	0.607084177
SUPV3L1	-0.13857758
SUV39H1	1.120064702
SYK	-0.432998002
SYPL1	-0.464374453
TARBP1	0.000205971
TBP	0.362102166
TBX2	-0.300987385
TBXA2R	-0.466629207
TCEA2	0.018039152
VPS72	1.548709333
TCTA	2.234053254
DYNLT3	-0.234462768
TERT	0.417189434
TESK1	-0.272875205
TFAP2A	-0.211106092
TFDP1	0.020655334
TGFB3	0.502102852
TGFBR2	0.902558714
TIAM1	-0.232746199
TIMP2	1.406486847
TJP1	-0.152434006
TLE1	-1.024531901
TLR4	-0.242666841
TSPAN6	-0.566243932
TSPAN4	-1.576331183
TOP2A	0.570868507
TP53	0.053212881
TP53BP1	-0.029497564
TP53BP2	0.024025291
TPD52L2	-0.560372114
TPM1	-2.740962891
TSTA3	0.063358024
TXNRD1	1.735761672
UBE2A	0.560576461
UGDH	1.385125577
NR1H2	0.433533221
USP1	0.069944978
VDAC1	0.001155376
WFS1	0.113972008
WRB	-0.044901818
XBP1	-0.159699656
XPNPEP1	-0.168740124
ZFP36	-0.252100579
ZNF131	0.436403394
ZMYM2	-0.735569358
PAX8	0.32326024
CXCR4	-0.141680725
IFRD2	-0.62710163
MAPKAPK3	0.225711219
USP7	-0.399570785
REEP5	0.790912867
ST7	0.091523405
KAT6A	-0.237047389
PDHX	-1.604808472
FOSL1	0.578418732
HMGA2	-0.224618703
NCOA3	0.099060312
NRIP1	-0.443660438
SMC1A	-0.343604222
LAGE3	-0.800751053
AXIN1	0.315327734
CDC45	0.455758989
FZD1	0.362199441
FZD7	-0.179451622
HIST2H2BE	-0.143358342
PIP4K2B	0.288445551
NCK2	0.551614344
DYRK3	0.310453221
DUSP11	0.848187
RAE1	-0.354483038
PIK3R3	-0.229818031
NIPSNAP1	-0.352825038
IKBKAP	-0.228414878
HAT1	-0.048053592
MAPKAPK5	0.90402893
BHLHE40	0.355549842
MKNK1	0.131921619
CASK	-0.32567326
AKR7A2	0.557727214
RUVBL1	0.910416558
PSMG1	0.381724834
BECN1	-0.611535666
MBTPS1	0.16920976
EED	-0.529843003
CTNNAL1	-0.121919274
RNMT	-1.631288532
PEX11A	-0.375757284
CREG1	0.256173432
INPP4B	0.764985472
IQGAP1	-0.04912034
SOCS2	0.156557577
CFLAR	0.416478381
CDK5R1	-0.032954216
ST3GAL5	0.206827879
IER3	0.239293681
SQSTM1	-0.291396588
SLC5A6	-1.099004567
CPNE3	0.212612368
CCNA1	-0.519668683
TIMELESS	0.140023634
P4HA2	0.040533423
PLOD3	0.208078153
NOL3	0.049253643
SLC25A14	-0.203054227
MPZL1	-0.425005227
MAP7	-1.132602066
DNAJA3	0.529838234
USP14	0.521363914
MTA1	0.030467123
PDLIM1	-0.294835731
SMC3	-0.168930307
PRPF4	0.011923432
CCNB2	0.591418996
CCNE2	0.239303589
SYNGR3	0.262329474
LPAR2	0.062874526
ARHGEF2	0.748694271
ZW10	0.150256488
AURKB	0.39735961
VAPB	1.267838597
NOLC1	-0.276806355
UBE2L6	-0.93927452
MAPKAPK2	-0.012187649
CYTH1	1.088450342
ITGB1BP1	-0.238481104
BCL7B	-0.122279895
COPB2	0.092020418
ADGRG1	-0.327577827
TM9SF2	-0.475366697
MAP4K4	-0.204516619
HOMER2	-0.292745948
SH3BP5	0.017036531
PIGB	0.634055614
PSMF1	-0.076643825
SPTLC2	-0.40078216
TBPL1	0.823895484
BAG3	-0.199079521
POLR1C	-0.038314804
SPAG7	0.460743368
FEZ2	0.272507787
IKBKE	0.445290923
MTFR1	2.327063829
HS2ST1	0.336230621
IPO13	-0.026093364
VGLL4	0.071506541
NUP93	-0.547805386
UBE3C	-0.192785323
EDEM1	0.143624008
TRAM2	-0.528117012
CEP57	0.245341741
KIAA0100	-0.298303992
HERPUD1	0.685381219
KIAA0355	-0.040022977
USP6NL	-1.13149257
CCP110	0.006977029
MLEC	0.032755353
TATDN2	-0.922442064
MRPL19	-0.491384976
SCRN1	-0.300185613
EFCAB14	0.461772099
KEAP1	0.792155921
MELK	0.098640591
PLEKHM1	-0.006430862
C2CD5	0.123484105
KIAA0753	0.865547106
C2CD2L	-0.300020687
TOMM70A	0.191136271
KIAA0196	-0.291901462
KLHL21	0.543348238
ARNT2	-0.292134929
FAM20B	-0.06817916
NCAPD2	1.297419697
PAN2	0.280862935
LPGAT1	0.445389703
KIF14	-0.199870743
OXSR1	0.181609452
MVP	0.18522802
DMTF1	-1.679922402
GNPDA1	0.127451681
HDAC6	-0.087701004
PARP2	0.736362308
MAMLD1	0.132777579
DNAJB6	-0.434075609
SMC4	-0.708678305
ABCC5	-1.086589277
ABCB6	0.117256686
DNM1L	-0.210511483
TSPAN3	-0.139744554
KIF20A	0.32506676
ARL4C	0.332096882
TRAP1	-0.387877911
G3BP1	-2.522324324
MBNL2	0.109791201
CEBPZ	-0.571663558
