"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-5675221","R-HSA-5675221","Negative regulation of MAPK pathway","10/35","34/2914",1.66330263453991e-12,6.73637566988662e-10,3.6067404496339e-10,"MAPK1/DUSP2/MAPK3/PPP2CB/PPP2CA/DUSP8/DUSP9/DUSP10/PPP2R1B/DUSP7",10
"R-HSA-198753","R-HSA-198753","ERK/MAPK targets","8/35","21/2914",3.36646518714637e-11,6.8170920039714e-09,3.64995699237975e-09,"MAPK1/MAPK14/MAPK3/PPP2CB/PPP2CA/MAPK11/PPP2R1B/DUSP7",8
"R-HSA-198725","R-HSA-198725","Nuclear Events (kinase and transcription factor activation)","8/35","24/2914",1.1867538037474e-10,1.60211763505899e-08,8.57793977445491e-09,"MAPK1/MAPK14/MAPK3/PPP2CB/PPP2CA/MAPK11/PPP2R1B/DUSP7",8
"R-HSA-212436","R-HSA-212436","Generic Transcription Pathway","22/35","481/2914",7.09484441016486e-10,7.18352996529192e-08,3.84615249603674e-08,"MAPK1/MEN1/SMAD2/YAP1/MAPK14/SP1/NR4A1/CSNK2A1/MAPK3/SMAD3/AKT1/STK11/MYB/TP53/HDAC1/NR0B2/PPP2CB/PPP2CA/MAPK11/NR2C2AP/CASP1/PPP2R1B",22
"R-HSA-450282","R-HSA-450282","MAPK targets/ Nuclear events mediated by MAP kinases","8/35","30/2914",8.98413412347134e-10,7.27714864001179e-08,3.8962771146002e-08,"MAPK1/MAPK14/MAPK3/PPP2CB/PPP2CA/MAPK11/PPP2R1B/DUSP7",8
"R-HSA-73857","R-HSA-73857","RNA Polymerase II Transcription","22/35","499/2914",1.47933886670996e-09,9.74195812448271e-08,5.2159671829589e-08,"MAPK1/MEN1/SMAD2/YAP1/MAPK14/SP1/NR4A1/CSNK2A1/MAPK3/SMAD3/AKT1/STK11/MYB/TP53/HDAC1/NR0B2/PPP2CB/PPP2CA/MAPK11/NR2C2AP/CASP1/PPP2R1B",22
"R-HSA-202670","R-HSA-202670","ERKs are inactivated","6/35","12/2914",1.68379523139207e-09,9.74195812448271e-08,5.2159671829589e-08,"MAPK1/MAPK3/PPP2CB/PPP2CA/PPP2R1B/DUSP7",6
"R-HSA-112409","R-HSA-112409","RAF-independent MAPK1/3 activation","7/35","23/2914",4.09595210316599e-09,2.07357575222778e-07,1.11021859638447e-07,"MAPK1/DUSP2/MAPK3/DUSP8/DUSP9/DUSP10/DUSP7",7
"R-HSA-187037","R-HSA-187037","Signaling by NTRK1 (TRKA)","9/35","70/2914",6.77600833360832e-08,3.04920375012374e-06,1.63258212482259e-06,"STAT3/MAPK1/MAPK14/MAPK3/PPP2CB/PPP2CA/MAPK11/PPP2R1B/DUSP7",9
"R-HSA-5633007","R-HSA-5633007","Regulation of TP53 Activity","10/35","95/2914",7.8857203911337e-08,3.19371675840915e-06,1.70995621113004e-06,"MAPK14/CSNK2A1/AKT1/STK11/TP53/HDAC1/PPP2CB/PPP2CA/MAPK11/PPP2R1B",10
"R-HSA-450294","R-HSA-450294","MAP kinase activation","8/35","60/2914",3.05672608186558e-07,1.12543096650505e-05,6.02569926185942e-06,"MAPK1/MAPK14/MAPK3/PPP2CB/PPP2CA/MAPK11/PPP2R1B/DUSP7",8
"R-HSA-448424","R-HSA-448424","Interleukin-17 signaling","8/35","64/2914",5.11346696955492e-07,1.72579510222479e-05,9.24012452393257e-06,"MAPK1/MAPK14/MAPK3/PPP2CB/PPP2CA/MAPK11/PPP2R1B/DUSP7",8
"R-HSA-166520","R-HSA-166520","Signaling by NTRKs","9/35","89/2914",5.66538587176003e-07,1.76498559850986e-05,9.44995538123536e-06,"STAT3/MAPK1/MAPK14/MAPK3/PPP2CB/PPP2CA/MAPK11/PPP2R1B/DUSP7",9
"R-HSA-68875","R-HSA-68875","Mitotic Prophase","6/35","33/2914",1.68479422670896e-06,4.87386901297949e-05,2.60953090753418e-05,"MAPK1/MAPK3/SET/PPP2CB/PPP2CA/PPP2R1B",6
"R-HSA-168142","R-HSA-168142","Toll Like Receptor 10 (TLR10) Cascade","8/35","78/2914",2.40831582503276e-06,5.73745828904863e-05,3.07190749199225e-05,"MAPK1/MAPK14/MAPK3/PPP2CB/PPP2CA/MAPK11/PPP2R1B/DUSP7",8
"R-HSA-168176","R-HSA-168176","Toll Like Receptor 5 (TLR5) Cascade","8/35","78/2914",2.40831582503276e-06,5.73745828904863e-05,3.07190749199225e-05,"MAPK1/MAPK14/MAPK3/PPP2CB/PPP2CA/MAPK11/PPP2R1B/DUSP7",8
"R-HSA-975871","R-HSA-975871","MyD88 cascade initiated on plasma membrane","8/35","78/2914",2.40831582503276e-06,5.73745828904863e-05,3.07190749199225e-05,"MAPK1/MAPK14/MAPK3/PPP2CB/PPP2CA/MAPK11/PPP2R1B/DUSP7",8
"R-HSA-450341","R-HSA-450341","Activation of the AP-1 family of transcription factors","4/35","10/2914",3.483920995661e-06,7.83882224023725e-05,4.19700424038693e-05,"MAPK1/MAPK14/MAPK3/MAPK11",4
"R-HSA-975138","R-HSA-975138","TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation","8/35","83/2914",3.88446895247636e-06,8.21064242614388e-05,4.39608145493343e-05,"MAPK1/MAPK14/MAPK3/PPP2CB/PPP2CA/MAPK11/PPP2R1B/DUSP7",8
"R-HSA-168181","R-HSA-168181","Toll Like Receptor 7/8 (TLR7/8) Cascade","8/35","84/2914",4.25737014688942e-06,8.21064242614388e-05,4.39608145493343e-05,"MAPK1/MAPK14/MAPK3/PPP2CB/PPP2CA/MAPK11/PPP2R1B/DUSP7",8
"R-HSA-975155","R-HSA-975155","MyD88 dependent cascade initiated on endosome","8/35","84/2914",4.25737014688942e-06,8.21064242614388e-05,4.39608145493343e-05,"MAPK1/MAPK14/MAPK3/PPP2CB/PPP2CA/MAPK11/PPP2R1B/DUSP7",8
"R-HSA-166058","R-HSA-166058","MyD88:MAL(TIRAP) cascade initiated on plasma membrane","8/35","86/2914",5.09517938804429e-06,8.34612448315825e-05,4.46862025608993e-05,"MAPK1/MAPK14/MAPK3/PPP2CB/PPP2CA/MAPK11/PPP2R1B/DUSP7",8
