ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-HSA-5663202	Diseases of signal transduction	34/91	285/3951	6.32903905217138e-17	3.61388129878986e-14	2.09857610677262e-14	1499/2308/5594/5595/4609/3164/4088/208/10000/1385/1387/1445/4851/4087/4089/6774/7046/7048/2931/3066/6772/5894/1026/2033/2932/5728/8312/3280/4041/4040/22938/2309/4303/6934	34
R-HSA-8878166	Transcriptional regulation by RUNX2	18/91	71/3951	6.8989670629913e-15	1.96965509648402e-12	1.14377611833803e-12	595/1019/5594/5595/5925/208/10000/10891/4089/6772/983/1026/2932/3280/2908/367/2101/4086	18
R-HSA-9614085	FOXO-mediated transcription	16/91	59/3951	8.00250464314756e-14	1.52314338374575e-11	8.84487355295257e-12	2308/4088/208/10000/1387/10891/4087/4089/3066/1026/2033/6794/2908/2309/4303/6720	16
R-HSA-8878159	Transcriptional regulation by RUNX3	14/91	56/3951	1.12683280067337e-11	1.60855382296124e-09	9.34085084768714e-10	595/1499/4609/4088/1387/4851/4089/7157/1026/2033/3280/22938/2309/6934	14
R-HSA-9615017	FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes	10/91	24/3951	3.83217277074938e-11	4.37634130419579e-09	2.54133562691801e-09	2308/4088/10891/4087/4089/3066/2908/2309/4303/6720	10
R-HSA-5674400	Constitutive Signaling by AKT1 E17K in Cancer	10/91	25/3951	6.26749919166764e-11	5.96457006407037e-09	3.46361797434264e-09	2308/3164/208/10000/1385/2931/1026/2932/2309/4303	10
R-HSA-5688426	Deubiquitination	19/91	139/3951	1.48765033973789e-10	1.2134976342719e-08	7.04676476717946e-09	4609/4088/4092/6885/387/4087/4089/7046/7048/993/983/7157/2033/5728/8312/4303/367/3091/4086	19
R-HSA-5689880	Ub-specific processing proteases	15/91	91/3951	1.11910329453914e-09	7.98759976477312e-08	4.63838865499776e-08	4609/4088/4092/6885/4087/4089/7046/993/7157/5728/8312/4303/367/3091/4086	15
R-HSA-2173796	SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription	9/91	27/3951	4.07985418420849e-09	2.5884408213145e-07	1.50310417312944e-07	4609/5933/4088/4092/4087/4089/22938/6667/3726	9
R-HSA-170834	Signaling by TGF-beta Receptor Complex	12/91	66/3951	1.89985471849324e-08	1.08481704425964e-06	6.29951827710916e-07	4609/5933/4088/4092/387/4087/4089/7046/7048/22938/6667/3726	12
