ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-HSA-450282	MAPK targets/ Nuclear events mediated by MAP kinases	12/56	30/3250	1.35402923317302e-14	7.18989522814875e-12	3.96231712444316e-12	1385/3725/5602/5601/9252/5594/1432/5595/5515/1386/466/4208	12
R-HSA-450294	MAP kinase activation	13/56	59/3250	6.09027206713513e-12	1.61696723382438e-09	8.91102965612403e-10	1385/3725/5602/5601/9252/6885/5594/1432/5595/5515/1386/466/4208	13
R-HSA-448424	Interleukin-17 signaling	13/56	67/3250	3.45311867619985e-11	4.70178886494933e-09	2.59113352057868e-09	1385/3725/5602/5601/9252/6885/5594/1432/5595/5515/1386/466/4208	13
R-HSA-450341	Activation of the AP-1 family of transcription factors	7/56	10/3250	3.54183718640251e-11	4.70178886494933e-09	2.59113352057868e-09	3725/5602/5601/5594/1432/5595/1386	7
R-HSA-9614399	Regulation of localization of FOXO transcription factors	7/56	11/3250	9.61125783485882e-11	1.02071558206201e-08	5.62511511177001e-09	2309/2810/7534/207/208/10000/4303	7
R-HSA-168142	Toll Like Receptor 10 (TLR10) Cascade	13/56	77/3250	2.20530467905881e-10	1.46377098072528e-08	8.06677237866248e-09	1385/3725/5602/5601/9252/6885/5594/1432/5595/5515/1386/466/4208	13
R-HSA-168176	Toll Like Receptor 5 (TLR5) Cascade	13/56	77/3250	2.20530467905881e-10	1.46377098072528e-08	8.06677237866248e-09	1385/3725/5602/5601/9252/6885/5594/1432/5595/5515/1386/466/4208	13
R-HSA-975871	MyD88 cascade initiated on plasma membrane	13/56	77/3250	2.20530467905881e-10	1.46377098072528e-08	8.06677237866248e-09	1385/3725/5602/5601/9252/6885/5594/1432/5595/5515/1386/466/4208	13
R-HSA-449147	Signaling by Interleukins	24/56	342/3250	2.91362618599865e-10	1.7190394497392e-08	9.47354479190204e-09	1385/2309/3725/5602/5601/9252/4088/6772/7157/7534/207/6885/5594/1432/5595/5515/5566/6774/3091/6657/1386/3726/466/4208	24
R-HSA-5663202	Diseases of signal transduction	21/56	258/3250	3.81999445216455e-10	2.02841705409937e-08	1.1178510081071e-08	1385/1499/1956/2309/4851/4088/4089/6772/207/208/10000/8312/2931/5594/5595/3164/5515/4087/6774/4303/6934	21
