ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-HSA-8939211	ESR-mediated signaling	8/19	127/3951	5.13750239132858e-08	1.10326694815488e-05	6.51329972177203e-06	208/10000/3065/3320/5594/5595/2309/6908	8
R-HSA-9634638	Estrogen-dependent nuclear events downstream of ESR-membrane signaling	5/19	24/3951	5.83739126007871e-08	1.10326694815488e-05	6.51329972177203e-06	208/10000/5594/5595/2309	5
R-HSA-9006931	Signaling by Nuclear Receptors	8/19	164/3951	3.80596438375884e-07	3.73216399174514e-05	2.20333825187961e-05	208/10000/3065/3320/5594/5595/2309/6908	8
R-HSA-9009391	Extra-nuclear estrogen signaling	6/19	66/3951	3.94937988544459e-07	3.73216399174514e-05	2.20333825187961e-05	208/10000/3320/5594/5595/2309	6
R-HSA-8878166	Transcriptional regulation by RUNX2	6/19	71/3951	6.13703441129943e-07	4.63959801494237e-05	2.73905535830627e-05	208/10000/5594/5595/5925/10413	6
R-HSA-8940973	RUNX2 regulates osteoblast differentiation	4/19	21/3951	2.17267682492085e-06	0.000136878639970013	8.08083310321438e-05	5594/5595/5925/10413	4
R-HSA-109606	Intrinsic Pathway for Apoptosis	5/19	50/3951	2.69338137615442e-06	0.000145442594312339	8.58641882322914e-05	208/10000/5594/5595/6774	5
R-HSA-8941326	RUNX2 regulates bone development	4/19	27/3951	6.25548431700352e-06	0.000295571633978416	0.00017449508884273	5594/5595/5925/10413	4
R-HSA-9614399	Regulation of localization of FOXO transcription factors	3/19	11/3951	1.51911735923962e-05	0.000574683132212281	0.000339272692923987	208/10000/2309	3
R-HSA-6807070	PTEN Regulation	5/19	71/3951	1.55462183135091e-05	0.000574683132212281	0.000339272692923987	208/10000/3065/5594/5595	5
R-HSA-69278	Cell Cycle, Mitotic	8/19	270/3951	1.67235832125267e-05	0.000574683132212281	0.000339272692923987	208/10000/3065/3320/5594/5595/5566/5925	8
R-HSA-5663202	Diseases of signal transduction	8/19	285/3951	2.49188438432808e-05	0.000784943581063344	0.000463403060945221	208/10000/3065/3320/5594/5595/6774/2309	8
R-HSA-9006925	Intracellular signaling by second messengers	7/19	230/3951	5.70505308335378e-05	0.00165885389654441	0.000979328950340892	208/10000/3065/5594/5595/5566/2309	7
R-HSA-6804758	Regulation of TP53 Activity through Acetylation	3/19	19/3951	8.70672831420063e-05	0.00221726453746023	0.00130899493718064	208/10000/3065	3
