ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-HSA-8878166	Transcriptional regulation by RUNX2	7/27	62/3250	4.28913464135761e-07	0.000143257097021344	8.89431078260472e-05	2099/2932/5594/5595/4094/4089/7291	7
R-HSA-2559583	Cellular Senescence	7/27	93/3250	6.971155276012e-06	0.001164182931094	0.000722798731249665	5594/5595/9261/6774/1051/1869/2113	7
R-HSA-2262752	Cellular responses to stress	9/27	206/3250	2.38833222583883e-05	0.00163213701652574	0.00101333435945658	1387/2932/5594/5595/9261/6774/1051/1869/2113	9
R-HSA-2559585	Oncogene Induced Senescence	4/27	22/3250	2.49762107532893e-05	0.00163213701652574	0.00101333435945658	5594/5595/1869/2113	4
R-HSA-8953897	Cellular responses to external stimuli	9/27	209/3250	2.68470085286435e-05	0.00163213701652574	0.00101333435945658	1387/2932/5594/5595/9261/6774/1051/1869/2113	9
R-HSA-198725	Nuclear Events (kinase and transcription factor activation)	4/27	24/3250	3.58709652982064e-05	0.00163213701652574	0.00101333435945658	5594/5595/9261/2002	4
R-HSA-9634638	Estrogen-dependent nuclear events downstream of ESR-membrane signaling	4/27	24/3250	3.58709652982064e-05	0.00163213701652574	0.00101333435945658	5594/5595/2002/6722	4
R-HSA-8941326	RUNX2 regulates bone development	4/27	25/3250	4.24613948889492e-05	0.00163213701652574	0.00101333435945658	5594/5595/4094/4089	4
R-HSA-3371556	Cellular response to heat stress	5/27	50/3250	4.39797399662626e-05	0.00163213701652574	0.00101333435945658	1387/2932/5594/5595/9261	5
R-HSA-9614085	FOXO-mediated transcription	5/27	54/3250	6.41677350976753e-05	0.00205150569975382	0.00127370508304917	1387/4088/6794/4089/604	5
R-HSA-9616222	Transcriptional regulation of granulopoiesis	4/27	28/3250	6.75645589739283e-05	0.00205150569975382	0.00127370508304917	6774/5914/1051/1869	4
R-HSA-3371453	Regulation of HSF1-mediated heat shock response	4/27	30/3250	8.94099008007527e-05	0.00229714668211165	0.00142621461196342	2932/5594/5595/9261	4
R-HSA-450282	MAPK targets/ Nuclear events mediated by MAP kinases	4/27	30/3250	8.94099008007527e-05	0.00229714668211165	0.00142621461196342	5594/5595/9261/2002	4
R-HSA-9006931	Signaling by Nuclear Receptors	7/27	145/3250	0.00012745824281933	0.00301694787290683	0.00187311292455924	1387/2099/5594/5595/5914/2002/6722	7
R-HSA-9009391	Extra-nuclear estrogen signaling	5/27	63/3250	0.000135491670938929	0.00301694787290683	0.00187311292455924	2099/5594/5595/2002/6722	5
R-HSA-2559582	Senescence-Associated Secretory Phenotype (SASP)	4/27	37/3250	0.000207065612820868	0.00427943608436427	0.00265694581979124	5594/5595/6774/1051	4
R-HSA-9614657	FOXO-mediated transcription of cell death genes	3/27	15/3250	0.000217815609084409	0.00427943608436427	0.00265694581979124	1387/6794/604	3
R-HSA-445144	Signal transduction by L1	3/27	16/3250	0.000266596941551504	0.00494685435990013	0.00307132149038867	1457/5594/5595	3
R-HSA-187037	Signaling by NTRK1 (TRKA)	5/27	74/3250	0.000291652425383194	0.0050916355769821	0.00316121086878498	5594/5595/9261/6774/2002	5
R-HSA-8939211	ESR-mediated signaling	6/27	117/3250	0.00030488835790312	0.0050916355769821	0.00316121086878498	1387/2099/5594/5595/2002/6722	6
R-HSA-2559580	Oxidative Stress Induced Senescence	4/27	44/3250	0.000408999621176236	0.00650504159394585	0.00403874312640193	5594/5595/9261/1869	4
R-HSA-8940973	RUNX2 regulates osteoblast differentiation	3/27	19/3250	0.000453692380554302	0.00688787523205168	0.00427643057268888	5594/5595/4094	3
R-HSA-1266738	Developmental Biology	11/27	448/3250	0.000490583330437893	0.00712412314635897	0.00442310828815858	1387/1457/2932/5594/5595/4088/6774/5914/1051/1869/4089	11
R-HSA-198753	ERK/MAPK targets	3/27	21/3250	0.000615844964258471	0.00828932933700663	0.00514654232395306	5594/5595/2002	3
R-HSA-109606	Intrinsic Pathway for Apoptosis	4/27	49/3250	0.000620458782710077	0.00828932933700663	0.00514654232395306	5594/5595/6774/1869	4
R-HSA-8878159	Transcriptional regulation by RUNX3	4/27	50/3250	0.000670587395122583	0.00861446884503626	0.00534840958862951	1387/4088/6932/4089	4
R-HSA-166520	Signaling by NTRKs	5/27	91/3250	0.000764144233970243	0.00945274719059486	0.00586886604647711	5594/5595/9261/6774/2002	5
R-HSA-5663202	Diseases of signal transduction	8/27	258/3250	0.000828701012174478	0.0098852192166527	0.00613737215783354	1387/2099/2932/5594/5595/4088/6774/4089	8
R-HSA-982772	Growth hormone receptor signaling	3/27	24/3250	0.000921734542787211	0.0106158392169286	0.00659098747473977	5594/5595/6774	3
R-HSA-2173796	SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription	3/27	25/3250	0.00104163542659152	0.0112227816929538	0.00696781592660541	4088/4089/3726	3
R-HSA-8939902	Regulation of RUNX2 expression and activity	3/27	25/3250	0.00104163542659152	0.0112227816929538	0.00696781592660541	2099/2932/7291	3
R-HSA-449147	Signaling by Interleukins	9/27	342/3250	0.00119152794015155	0.0124365728753318	0.00772141461216626	5594/5595/9261/4088/6774/2002/7291/604/3726	9
R-HSA-450294	MAP kinase activation	4/27	59/3250	0.00125911708895175	0.0127437911427238	0.00791215523200941	5594/5595/9261/2002	4
R-HSA-109581	Apoptosis	5/27	111/3250	0.00187855712248545	0.0183608067299467	0.0113995553917413	1612/5594/5595/6774/1869	5
R-HSA-438064	Post NMDA receptor activation events	4/27	67/3250	0.00202618609205591	0.0183608067299467	0.0113995553917413	10645/5594/5595/5562	4
R-HSA-448424	Interleukin-17 signaling	4/27	67/3250	0.00202618609205591	0.0183608067299467	0.0113995553917413	5594/5595/9261/2002	4
R-HSA-5357801	Programmed Cell Death	5/27	113/3250	0.00203398158385638	0.0183608067299467	0.0113995553917413	1612/5594/5595/6774/1869	5
R-HSA-187687	Signalling to ERKs	3/27	33/3250	0.00236382470556205	0.0207767750436244	0.0128995420220422	5594/5595/9261	3
R-HSA-442755	Activation of NMDA receptors and postsynaptic events	4/27	71/3250	0.00251075517202027	0.0215023648065326	0.013350034247989	10645/5594/5595/5562	4
R-HSA-111458	Formation of apoptosome	2/27	10/3250	0.00287123421454616	0.0223021448292655	0.0138465885009937	5594/5595	2
R-HSA-450341	Activation of the AP-1 family of transcription factors	2/27	10/3250	0.00287123421454616	0.0223021448292655	0.0138465885009937	5594/5595	2
R-HSA-74749	Signal attenuation	2/27	10/3250	0.00287123421454616	0.0223021448292655	0.0138465885009937	5594/5595	2
R-HSA-9627069	Regulation of the apoptosome activity	2/27	10/3250	0.00287123421454616	0.0223021448292655	0.0138465885009937	5594/5595	2
R-HSA-2173793	Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	3/27	36/3250	0.00304247764757841	0.0230951712338907	0.0143389496787786	4088/4089/3726	3
R-HSA-168142	Toll Like Receptor 10 (TLR10) Cascade	4/27	77/3250	0.00337965569410483	0.0240171276985322	0.0149113588295331	5594/5595/9261/2002	4
R-HSA-168176	Toll Like Receptor 5 (TLR5) Cascade	4/27	77/3250	0.00337965569410483	0.0240171276985322	0.0149113588295331	5594/5595/9261/2002	4
R-HSA-975871	MyD88 cascade initiated on plasma membrane	4/27	77/3250	0.00337965569410483	0.0240171276985322	0.0149113588295331	5594/5595/9261/2002	4
R-HSA-1502540	Signaling by Activin	2/27	11/3250	0.00349133916839284	0.0242939017134002	0.0150831977231006	4088/4089	2
R-HSA-111461	Cytochrome c-mediated apoptotic response	2/27	12/3250	0.00416818975617596	0.0262146434354192	0.0162757162205408	5594/5595	2
R-HSA-170968	Frs2-mediated activation	2/27	12/3250	0.00416818975617596	0.0262146434354192	0.0162757162205408	5594/5595	2
