ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-HSA-5663202	Diseases of signal transduction	45/125	285/3951	1.99854791961484e-21	1.45494288547961e-18	7.57344474801414e-19	1499/1956/2099/2253/2308/4609/4088/4089/6772/55294/2932/8850/4193/2033/3065/9794/4851/2064/2066/2261/2264/5594/5595/5155/5156/5159/6714/1026/1387/5170/5295/6464/6774/7048/5290/1385/2534/207/4296/5879/5515/5728/4087/2309/1523	45
R-HSA-1257604	PIP3 activates AKT signaling	32/125	191/3951	8.16553718217067e-16	2.27532733453901e-13	1.18438091445061e-13	1956/2099/2253/2308/3725/7157/2932/4193/3065/5468/2064/2066/2261/2264/5594/5595/5155/5156/5159/6714/1026/5170/5295/5290/1385/7189/2534/207/5879/5515/5728/2309	32
R-HSA-2219528	PI3K/AKT Signaling in Cancer	24/125	99/3951	9.37634890606737e-16	2.27532733453901e-13	1.18438091445061e-13	1956/2099/2253/2308/2932/4193/2064/2066/2261/2264/5155/5156/5159/6714/1026/5170/5295/5290/1385/2534/207/5879/5728/2309	24
R-HSA-9006925	Intracellular signaling by second messengers	33/125	230/3951	3.01890189679924e-14	5.49440145217461e-12	2.86001232328349e-12	1956/2099/2253/2308/3725/7157/2932/4193/3065/5468/2064/2066/2261/2264/5594/5595/5155/5156/5159/5580/6714/1026/5170/5295/5290/1385/7189/2534/207/5879/5515/5728/2309	33
R-HSA-8939211	ESR-mediated signaling	25/125	127/3951	4.12494719007113e-14	6.00592310874356e-12	3.12627576510654e-12	1956/2099/2625/3725/4602/4609/8850/2033/3065/2066/5594/5595/6714/1387/5170/5295/6464/5290/1385/6667/2288/207/857/5747/2309	25
R-HSA-9006934	Signaling by Receptor Tyrosine Kinases	41/125	386/3951	4.32398082066052e-13	5.24643006240143e-11	2.73093525515401e-11	1020/1499/1956/2099/2253/6772/2064/2066/2261/2264/5594/1432/5595/4914/5155/5156/5159/5580/6714/1398/5170/5295/6464/6774/51741/2241/5290/1385/2534/5771/6197/207/5058/5062/5879/857/5515/5747/387/10451/4208	41
R-HSA-199418	Negative regulation of the PI3K/AKT network	21/125	106/3951	5.05143202835565e-12	5.25348930948987e-10	2.7346098198617e-10	1956/2099/2253/2064/2066/2261/2264/5594/5595/5155/5156/5159/6714/5295/5290/7189/2534/207/5879/5515/5728	21
R-HSA-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	20/125	99/3951	1.17334964987256e-11	1.06774818138403e-09	5.55797202571211e-10	1956/2099/2253/2064/2066/2261/2264/5594/5595/5155/5156/5159/6714/5295/5290/7189/2534/207/5879/5515	20
R-HSA-9614085	FOXO-mediated transcription	16/125	59/3951	1.33838803082535e-11	1.08260720715651e-09	5.63531802452779e-10	2308/2908/4088/4089/8850/10891/10971/2033/3065/1026/1387/6794/207/857/4087/2309	16
R-HSA-9006931	Signaling by Nuclear Receptors	25/125	164/3951	1.75693640691561e-11	1.27904970423456e-09	6.6578642788381e-10	1956/2099/2625/3725/4602/4609/8850/2033/3065/2066/5594/5595/6714/1387/5170/5295/6464/5290/1385/6667/2288/207/857/5747/2309	25
R-HSA-9616222	Transcriptional regulation of granulopoiesis	12/125	29/3951	1.94936948172791e-11	1.29012816608902e-09	6.71553122891911e-10	1869/4602/4609/2033/1026/6774/1385/1050/1051/2624/2313/7027	12
R-HSA-8878159	Transcriptional regulation by RUNX3	15/125	56/3951	7.44332745098742e-11	4.51561865359904e-09	2.35052445820656e-09	1499/4609/4088/4089/7157/8850/4193/2033/9794/4851/6714/1026/1387/2309/6932	15
R-HSA-5683057	MAPK family signaling cascades	28/125	224/3951	1.20849877395768e-10	6.767593134163e-09	3.5227494625487e-09	1956/2253/2308/3725/4609/983/2064/2066/2261/2264/5594/5595/5155/5156/5159/5979/6714/6464/1843/2534/4296/5058/5062/5879/5515/5747/2309/2118	28
R-HSA-8864260	Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors	11/125	28/3951	2.786116574053e-10	1.37755943244437e-08	7.17063903528011e-09	1956/2099/4609/7341/7329/2033/2064/1026/1387/51741/4605	11
R-HSA-8878166	Transcriptional regulation by RUNX2	16/125	71/3951	2.83837795146504e-10	1.37755943244437e-08	7.17063903528011e-09	367/2099/2908/4089/6772/983/55294/2932/10891/25/5594/5595/6714/1026/207/2101	16
R-HSA-166520	Signaling by NTRKs	18/125	96/3951	5.10589130132189e-10	2.32318054210146e-08	1.20929004504992e-08	1020/5594/1432/5595/4914/6714/1398/5295/6464/6774/5290/1385/2534/6197/5879/5515/387/4208	18
R-HSA-1538133	G0 and Early G1	10/125	23/3951	5.66465353163349e-10	2.42580457119364e-08	1.26270914637031e-08	1869/4149/4609/898/983/3065/1874/5933/4605/7027	10
R-HSA-2871796	FCERI mediated MAPK activation	11/125	30/3951	6.71628213425472e-10	2.5733965230197e-08	1.33953549492061e-08	3725/5594/5595/5599/6464/5602/5601/5058/5062/5879/10451	11
R-HSA-450282	MAPK targets/ Nuclear events mediated by MAP kinases	11/125	30/3951	6.71628213425472e-10	2.5733965230197e-08	1.33953549492061e-08	3725/5594/1432/5595/5599/1385/6197/5602/5601/5515/4208	11
R-HSA-2454202	Fc epsilon receptor (FCERI) signaling	17/125	91/3951	1.7177769929013e-09	6.25270825416072e-08	3.25473535497088e-08	3725/5594/5595/5599/5170/5295/6464/5290/5970/7189/2534/5602/5601/5058/5062/5879/10451	17
R-HSA-2559583	Cellular Senescence	18/125	106/3951	2.76555039834705e-09	9.58724138093644e-08	4.99046688423528e-08	1869/3725/7157/898/4193/5594/1432/5595/1026/5599/6774/5970/6667/6197/5602/5601/1051/7027	18
R-HSA-450341	Activation of the AP-1 family of transcription factors	7/125	10/3951	2.97917731852274e-09	9.85836858129344e-08	5.1315972950631e-08	3725/5594/1432/5595/5599/5602/5601	7
