ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-HSA-8939211	ESR-mediated signaling	15/53	117/3250	1.7817268482356e-10	9.47878683261338e-08	6.4892367314686e-08	208/2770/55970/6714/207/10000/2099/3725/10524/4609/6667/2100/2353/7528/3169	15
R-HSA-9006931	Signaling by Nuclear Receptors	15/53	145/3250	3.90317454933671e-09	1.03824443012356e-06	7.10788628458159e-07	208/2770/55970/6714/207/10000/2099/3725/10524/4609/6667/2100/2353/7528/3169	15
R-HSA-201681	TCF dependent signaling in response to WNT	13/53	110/3250	1.016717666459e-08	1.80297932852063e-06	1.23433092138532e-06	208/207/1499/10524/4609/1855/8321/8323/8325/51176/6259/7471/6932	13
R-HSA-3858494	Beta-catenin independent WNT signaling	11/53	80/3250	3.30673121928027e-08	4.39795252164276e-06	3.0108657943973e-06	55970/1499/1855/8321/7976/8323/8325/51176/6259/7471/6932	11
R-HSA-195721	Signaling by WNT	15/53	178/3250	6.67987277464683e-08	7.10738463222422e-06	4.86575995795327e-06	208/55970/207/1499/10524/4609/1855/8321/7976/8323/8325/51176/6259/7471/6932	15
R-HSA-5663202	Diseases of signal transduction	17/53	258/3250	2.79893796517128e-07	2.4817249957852e-05	1.69900444903379e-05	208/6714/207/10000/1499/2099/55294/4609/4851/4088/1147/8323/8325/2308/4303/6772/2100	17
R-HSA-6804759	Regulation of TP53 Activity through Association with Co-factors	5/53	11/3250	4.08568844769535e-07	2.50600567360507e-05	1.71562715288356e-05	208/207/10000/7157/8626	5
R-HSA-9614399	Regulation of localization of FOXO transcription factors	5/53	11/3250	4.08568844769535e-07	2.50600567360507e-05	1.71562715288356e-05	208/207/10000/2308/4303	5
R-HSA-8878166	Transcriptional regulation by RUNX2	9/53	62/3250	4.23948328241458e-07	2.50600567360507e-05	1.71562715288356e-05	208/6714/207/10000/367/2099/55294/5925/6772	9
R-HSA-9009391	Extra-nuclear estrogen signaling	9/53	63/3250	4.88515730936239e-07	2.59890368858079e-05	1.7792257147783e-05	208/2770/55970/6714/207/10000/2099/2100/2353	9
