ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-HSA-450282	MAPK targets/ Nuclear events mediated by MAP kinases	9/43	30/3951	1.0689368988445e-11	4.67125424795047e-09	3.07178708825841e-09	1385/5594/9261/6195/6196/6197/9252/1386/2002	9
R-HSA-198725	Nuclear Events (kinase and transcription factor activation)	8/43	24/3951	6.42400313852215e-11	1.40364468576709e-08	9.2302781937713e-09	1385/5594/9261/6195/6196/6197/9252/2002	8
R-HSA-449147	Signaling by Interleukins	19/43	369/3951	1.70879902753645e-09	2.48915058344477e-07	1.63684959479808e-07	1385/5594/9261/5566/6095/6195/6196/6197/9252/4088/6772/6774/1386/2002/7157/7291/604/5451/3726	19
R-HSA-450294	MAP kinase activation	9/43	60/3951	8.73156304191242e-09	9.53923262328932e-07	6.27293871168971e-07	1385/5594/9261/6195/6196/6197/9252/1386/2002	9
R-HSA-881907	Gastrin-CREB signalling pathway via PKC and MAPK	6/43	18/3951	1.95169242387872e-08	1.70577917847e-06	1.12170954046082e-06	1385/1956/5594/6195/6196/6197	6
R-HSA-448424	Interleukin-17 signaling	9/43	68/3951	2.73338429551196e-08	1.99081489523121e-06	1.30914721521889e-06	1385/5594/9261/6195/6196/6197/9252/1386/2002	9
R-HSA-198753	ERK/MAPK targets	6/43	21/3951	5.56837314383508e-08	3.47625580550847e-06	2.28596371167966e-06	5594/6195/6196/6197/9252/2002	6
R-HSA-187037	Signaling by NTRK1 (TRKA)	9/43	76/3951	7.4201929305738e-08	4.04268437269754e-06	2.65844353546051e-06	1385/5594/9261/6195/6196/6197/9252/6774/2002	9
R-HSA-168142	Toll Like Receptor 10 (TLR10) Cascade	9/43	79/3951	1.04692511514564e-07	4.04268437269754e-06	2.65844353546051e-06	1385/5594/9261/6195/6196/6197/9252/1386/2002	9
R-HSA-168176	Toll Like Receptor 5 (TLR5) Cascade	9/43	79/3951	1.04692511514564e-07	4.04268437269754e-06	2.65844353546051e-06	1385/5594/9261/6195/6196/6197/9252/1386/2002	9
R-HSA-975871	MyD88 cascade initiated on plasma membrane	9/43	79/3951	1.04692511514564e-07	4.04268437269754e-06	2.65844353546051e-06	1385/5594/9261/6195/6196/6197/9252/1386/2002	9
R-HSA-400253	Circadian Clock	8/43	57/3951	1.11011927854395e-07	4.04268437269754e-06	2.65844353546051e-06	406/1385/1387/2033/6095/9575/1386/6720	8
R-HSA-975138	TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation	9/43	84/3951	1.80032987301795e-07	5.82003389301312e-06	3.82721727759263e-06	1385/5594/9261/6195/6196/6197/9252/1386/2002	9
R-HSA-168181	Toll Like Receptor 7/8 (TLR7/8) Cascade	9/43	85/3951	1.99772330423791e-07	5.82003389301312e-06	3.82721727759263e-06	1385/5594/9261/6195/6196/6197/9252/1386/2002	9
R-HSA-975155	MyD88 dependent cascade initiated on endosome	9/43	85/3951	1.99772330423791e-07	5.82003389301312e-06	3.82721727759263e-06	1385/5594/9261/6195/6196/6197/9252/1386/2002	9
R-HSA-166058	MyD88:MAL(TIRAP) cascade initiated on plasma membrane	9/43	88/3951	2.70741047214265e-07	6.57299097959077e-06	4.32235706956107e-06	1385/5594/9261/6195/6196/6197/9252/1386/2002	9
R-HSA-168164	Toll Like Receptor 3 (TLR3) Cascade	9/43	88/3951	2.70741047214265e-07	6.57299097959077e-06	4.32235706956107e-06	1385/5594/9261/6195/6196/6197/9252/1386/2002	9
R-HSA-168188	Toll Like Receptor TLR6:TLR2 Cascade	9/43	88/3951	2.70741047214265e-07	6.57299097959077e-06	4.32235706956107e-06	1385/5594/9261/6195/6196/6197/9252/1386/2002	9
R-HSA-168138	Toll Like Receptor 9 (TLR9) Cascade	9/43	89/3951	2.98834053136776e-07	6.8552799041618e-06	4.50798847124213e-06	1385/5594/9261/6195/6196/6197/9252/1386/2002	9
R-HSA-168179	Toll Like Receptor TLR1:TLR2 Cascade	9/43	90/3951	3.29429926744617e-07	6.8552799041618e-06	4.50798847124213e-06	1385/5594/9261/6195/6196/6197/9252/1386/2002	9
R-HSA-181438	Toll Like Receptor 2 (TLR2) Cascade	9/43	90/3951	3.29429926744617e-07	6.8552799041618e-06	4.50798847124213e-06	1385/5594/9261/6195/6196/6197/9252/1386/2002	9
R-HSA-166166	MyD88-independent TLR4 cascade 	9/43	91/3951	3.62715050485937e-07	6.89158595923279e-06	4.53186310218127e-06	1385/5594/9261/6195/6196/6197/9252/1386/2002	9
R-HSA-937061	TRIF(TICAM1)-mediated TLR4 signaling 	9/43	91/3951	3.62715050485937e-07	6.89158595923279e-06	4.53186310218127e-06	1385/5594/9261/6195/6196/6197/9252/1386/2002	9
R-HSA-9616222	Transcriptional regulation of granulopoiesis	6/43	29/3951	4.56939843327913e-07	8.32011298059574e-06	5.4712533872158e-06	1050/1385/2033/5371/6774/1051	6
R-HSA-166520	Signaling by NTRKs	9/43	96/3951	5.76809867589239e-07	1.00826364854599e-05	6.63027763586788e-06	1385/5594/9261/6195/6196/6197/9252/6774/2002	9
R-HSA-8939211	ESR-mediated signaling	10/43	127/3951	6.43723112566506e-07	1.08195000073678e-05	7.11483440205086e-06	1385/1387/1956/2033/5594/7391/1386/2002/5451/3169	10
R-HSA-9006931	Signaling by Nuclear Receptors	11/43	164/3951	8.18683529843128e-07	1.32505445385721e-05	8.71347382640055e-06	1385/1387/1956/2033/5594/7391/1386/2002/6720/5451/3169	11
R-HSA-8878159	Transcriptional regulation by RUNX3	7/43	56/3951	1.69931922557927e-06	2.6521517913505e-05	1.7440381525682e-05	1387/2033/4088/10413/4089/7157/7003	7
R-HSA-9614085	FOXO-mediated transcription	7/43	59/3951	2.44000481112978e-06	3.67683483608178e-05	2.41786320667307e-05	1387/2033/4088/6794/4089/6720/604	7
R-HSA-166016	Toll Like Receptor 4 (TLR4) Cascade	9/43	115/3951	2.6922695109546e-06	3.92173925429054e-05	2.57891079470388e-05	1385/5594/9261/6195/6196/6197/9252/1386/2002	9
R-HSA-437239	Recycling pathway of L1	6/43	42/3951	4.54280173657873e-06	6.40388502866099e-05	4.2111540715993e-05	5594/6195/6196/6197/8986/9252	6
R-HSA-442742	CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling	5/43	26/3951	6.68055934694158e-06	9.12313885816709e-05	5.99931809774688e-05	1385/5594/6195/6196/6197	5
R-HSA-2559582	Senescence-Associated Secretory Phenotype (SASP)	6/43	46/3951	7.85342767923018e-06	0.000103998421085563	6.83887003645882e-05	5594/6195/6196/6197/6774/1051	6
R-HSA-8878166	Transcriptional regulation by RUNX2	7/43	71/3951	8.63481595842071e-06	0.000110982781583231	7.29815714132772e-05	2932/5594/6772/10413/4089/7291/4086	7
R-HSA-438064	Post NMDA receptor activation events	7/43	72/3951	9.48788940908014e-06	0.000116622603072384	7.66902821600887e-05	1385/5594/5562/5566/6195/6196/6197	7
R-HSA-168898	Toll-like Receptor Cascades	9/43	134/3951	9.60735402884628e-06	0.000116622603072384	7.66902821600887e-05	1385/5594/9261/6195/6196/6197/9252/1386/2002	9
R-HSA-6785807	Interleukin-4 and Interleukin-13 signaling	8/43	102/3951	1.02828122587695e-05	0.000121448350191413	7.98636627779257e-05	6095/6772/6774/7157/7291/604/5451/3726	8
R-HSA-1368082	RORA activates gene expression	4/43	14/3951	1.12559006205961e-05	0.000129442857136855	8.51207997070009e-05	1387/2033/6095/6720	4
R-HSA-442755	Activation of NMDA receptors and postsynaptic events	7/43	76/3951	1.36335526116855e-05	0.000149618661788634	9.83882805450975e-05	1385/5594/5562/5566/6195/6196/6197	7
R-HSA-2559583	Cellular Senescence	8/43	106/3951	1.36950720172663e-05	0.000149618661788634	9.83882805450975e-05	5594/9261/6195/6196/6197/6774/1051/7157	8
R-HSA-9614657	FOXO-mediated transcription of cell death genes	4/43	16/3951	2.01434294598855e-05	0.000214699479852925	0.000141185012645667	1387/2033/6794/604	4
R-HSA-1989781	PPARA activates gene expression	6/43	59/3951	3.40071168005726e-05	0.000353835953377387	0.000232680272846023	406/1387/2033/6095/9575/6720	6
R-HSA-2262752	Cellular responses to stress	11/43	241/3951	3.48180254059711e-05	0.000353848304707195	0.000232688395001961	1387/2033/2932/5594/9261/6195/6196/6197/6774/1051/7157	11
R-HSA-400206	Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)	6/43	60/3951	3.74812294167455e-05	0.000372256755798131	0.000244793675377309	406/1387/2033/6095/9575/6720	6
R-HSA-8953897	Cellular responses to external stimuli	11/43	244/3951	3.9085919738307e-05	0.00037956770945867	0.000249601312013048	1387/2033/2932/5594/9261/6195/6196/6197/6774/1051/7157	11
R-HSA-5621575	CD209 (DC-SIGN) signaling	4/43	20/3951	5.19508852311191e-05	0.000493533409695632	0.000324544431764199	1387/2033/5566/9252	4
