NodeName	NodeID	Regulation	Score	Correct	Incorrect	Ambiguous	p-value	Enrichment p-value
PRKCE	813	1	13	17	4	15	0.00236333134260689	1
TAOK1	1228	-1	12	17	5	12	0.000605493802958792	1
TAOK3	1972	-1	12	17	5	12	0.000605493802958792	1
XRCC6	896	1	11	16	5	14	0.00955207952569203	1
DUSP16	1010	1	11	16	5	15	0.000325477175927369	1
DUSP14	2968	1	11	18	7	11	0.00143564205688669	1
SMAD2	263	-1	11	19	8	9	0.00913227292803683	1
MAP2K3	917	-1	11	17	6	13	0.000732868164181384	1
RAC1	936	-1	11	19	8	9	0.00913227292803683	1
MAP2K7	937	-1	11	17	6	13	0.00280852774631241	1
DYRK1A	1267	-1	11	17	6	13	0.0189129764853169	1
CCL7	1465	-1	11	16	5	14	0.00417153409839382	1
NOD1	1788	-1	11	18	7	11	0.00273459612440779	1
GTF2H1	3166	-1	11	15	4	10	0.00656837880120552	1
ERCC3	3167	-1	11	15	4	10	0.00656837880120552	1
PTPN2	768	1	10	14	4	17	0.0096301044903218	1
MAF1	824	1	10	14	4	12	0.0119132309355206	1
CREM	1635	1	10	17	7	9	0.0195299853192066	1
KCNIP3	1636	1	10	17	7	9	0.0195299853192066	1
SRGAP3	2150	1	10	18	8	9	0.0162322764715995	1
ZNF76	2349	1	10	14	4	12	0.0119132309355206	1
ARHGAP4	2367	1	10	18	8	9	0.0162322764715995	1
ARHGAP9	2371	1	10	18	8	9	0.0162322764715995	1
ARHGAP12	2375	1	10	18	8	9	0.0162322764715995	1
ARHGAP15	2376	1	10	18	8	9	0.0162322764715995	1
ARHGAP27	2383	1	10	18	8	9	0.0162322764715995	1
ARHGAP33	2388	1	10	18	8	9	0.0162322764715995	1
ARHGAP44	2392	1	10	18	8	9	0.0162322764715995	1
CHN1	2393	1	10	18	8	9	0.0162322764715995	1
CHN2	2394	1	10	18	8	9	0.0162322764715995	1
FAM13A	2395	1	10	18	8	9	0.0162322764715995	1
SH3BP1	2400	1	10	18	8	9	0.0162322764715995	1
SYDE2	2405	1	10	18	8	9	0.0162322764715995	1
