V1	6h_3uM
AARS	-0.419171869755
ABCF1	1.01882898808
ABL1	-0.70179104805
ACAA1	-0.0600517392159
ACAT2	0.764954566956
ACLY	-0.653003454208
ADAM10	0.546408414841
ADH5	-0.0694627761841
PARP1	-0.0353337675333
ADRB2	-2.73071217537
AGL	0.209883436561
AKT1	-0.478691756725
ALAS1	-0.753886461258
ALDOA	-1.2049998045
ALDOC	-1.98425900936
SLC25A4	0.397119939327
ANXA7	-0.40768378973
APBB2	-2.7146692276
BIRC2	-1.19805896282
BIRC5	0.348143160343
APOE	-0.143392384052
APP	-1.25436782837
FAS	1.04501235485
RHOA	0.123567074537
ARHGAP1	-0.35394513607
ASAH1	-0.299942523241
ATF1	0.282786935568
ATP1B1	0.444884330034
ALDH7A1	1.57428860664
ATP6V0B	2.51652884483
BAD	0.465447038412
BAX	0.513661146164
CCND1	0.480457216501
BCL2	0.386088311672
BDH1	-0.65502011776
BID	0.0897866562009
BLMH	0.973529458046
BLVRA	0.15922023356
BMP4	-0.451532006264
BNIP3	-0.699374377728
BNIP3L	-1.42961657047
BPHL	0.514210343361
BRCA1	-0.697090864182
BTK	0.259247213602
BUB1B	0.97720849514
C5	-0.0621955543756
DDR1	-0.0880312621593
CALM3	0.100367769599
CALU	-0.82268589735
CAPN1	-0.30036008358
CAST	-0.0682259947062
CASP2	-0.45855230093
CASP3	-0.347306400537
CASP7	0.657516717911
CASP10	-0.345439225435
CAT	3.34653949738
CBLB	0.991918385029
CBR1	-0.210805460811
CBR3	-0.301611572504
CCNA2	-0.526195585728
CCNB1	-0.588240265846
CCND3	-0.119621962309
CCNF	0.538484036922
CCNH	-0.440275281668
SCARB1	0.0581375062466
CD40	1.16761851311
CD44	0.971089065075
CD58	-0.00704409182072
ADGRE5	-0.044107761234
CDK1	-0.111079603434
CDC20	-1.47287583351
CDC25A	-0.249362900853
CDC25B	1.22857260704
CDC42	-0.221429914236
CDH3	0.207710906863
CDK2	0.011994600296
CDK4	-0.877658009529
CDK6	0.371975064278
CDK7	1.61017179489
CDKN1A	0.748075604439
CDKN1B	1.14236140251
CDKN2A	-0.520990431309
CEBPA	-0.0509929656982
CEBPD	-0.641355335712
CENPE	-0.0171921998262
CETN3	0.131612479687
CHEK1	-0.755315542221
CHN1	-0.991317927837
CIRBP	-0.442205786705
CLTB	-0.164935797453
CLTC	-0.850072741508
COL1A1	-0.723765492439
COL4A1	2.32132411003
CREB1	1.34025335312
CRK	0.182694882154
CRKL	-1.34736776352
CRYZ	-0.0756757333875
CSK	-0.0441592037678
CSNK1A1	-1.53399074078
CSNK1E	0.169562876225
CSNK2A2	0.314084768295
CSRP1	0.086594723165
CTNND1	-0.931122303009
CTSD	-0.618333935738
CTSL	0.664468705654
CYB561	0.0267358124256
DAG1	0.215211540461
DAXX	-0.767550945282
DCK	-1.23252391815
DCTD	0.215486079454
DDB2	-0.686493992805
GADD45A	0.523868083954
DDX10	-0.578123986721
DECR1	0.614298045635
DFFA	-1.778028965
DFFB	-1.07433378696
DLD	-0.00488409399986
DNM1	0.767710983753
DNMT1	-0.280123740435
DNMT3A	-0.0362361818552
DPH2	0.240970164537
DSG2	0.96571046114
TSC22D3	0.255173176527
DUSP3	-0.150868937373
DUSP4	0.0118204653263
DUSP6	0.762887835503
TOR1A	0.425996333361
E2F2	-0.823444724083
ECH1	-1.27443015575
EDN1	-0.738713741302
EGF	0.0341593027115
EGFR	-0.848232090473
EGR1	-0.470894038677
EIF4EBP1	0.85938346386
EIF4G1	-3.55542969704
EIF5	0.260708957911
ELAVL1	0.664306163788
CTTN	-0.374776929617
EPB41L2	0.396921485662
EPHA3	0.33413079381
EPHB2	0.271805137396
EPRS	0.688581109047
NR2F6	-0.523186266422
ERBB2	0.509821474552
ERBB3	-3.41499066353
ETFB	-0.550414443016
ETS1	1.09593558311
ETV1	1.91673672199
EXT1	0.261647552252
EZH2	0.207973435521
FAH	-1.13574123383
PTK2B	0.17502617836
FAT1	0.527461051941
FDFT1	-1.01131534576
FGFR2	-2.11403059959
FGFR4	-0.0763350129128
FHL2	0.651762068272
FKBP4	-0.470949530602
