V1	6h_10uM_3
AARS	1.28110182285
ABCF1	-0.592127680779
ABL1	1.24518656731
ACAA1	0.387257784605
ACAT2	-0.919301152229
ACLY	-0.0101978778839
ADAM10	-1.08260977268
ADH5	-1.66943347454
PARP1	-1.67328906059
ADRB2	-0.40195441246
AGL	-1.44218969345
AKT1	-1.69916129112
ALAS1	1.07154512405
ALDOA	-1.37980294228
ALDOC	-0.830498158932
SLC25A4	-0.294419258833
ANXA7	0.226857349277
APBB2	3.70778226852
BIRC2	1.89163398743
BIRC5	-2.04532766342
APOE	0.21973362565
APP	-0.420046567917
FAS	-0.259617030621
RHOA	0.360521286726
ARHGAP1	-2.54992198944
ASAH1	0.519591987133
ATF1	3.28008985519
ATP1B1	-0.0654799044132
ALDH7A1	-0.45118200779
ATP6V0B	1.44394278526
BAD	-0.655717015266
BAX	1.10455000401
CCND1	-0.652945637703
BCL2	-1.13413476944
BDH1	-0.944644987583
BID	-1.22427487373
BLMH	-0.409857749939
BLVRA	-1.8124871254
BMP4	-2.07963085175
BNIP3	-0.944226026535
BNIP3L	-0.184081554413
BPHL	-1.91652226448
BRCA1	-0.704747438431
BTK	1.48330330849
BUB1B	-2.71655082703
C5	0.0130723528564
DDR1	-2.39095067978
CALM3	-4.90897083282
CALU	0.318995118141
CAPN1	-2.69533085823
CAST	0.507712841034
CASP2	-1.36862337589
CASP3	0.320272505283
CASP7	0.751659393311
CASP10	0.167973965406
CAT	-1.46607351303
CBLB	1.12525475025
CBR1	-1.10319113731
CBR3	-0.056417144835
CCNA2	-0.794159770012
CCNB1	-2.63938093185
CCND3	-1.84741926193
CCNF	-0.763882875443
CCNH	1.30374062061
SCARB1	-2.46527051926
CD40	-0.236156582832
CD44	0.513516843319
CD58	-0.120642870665
ADGRE5	-0.378428280354
CDK1	-0.514488935471
CDC20	-0.60028731823
CDC25A	-0.846387326717
CDC25B	-1.83115136623
CDC42	-0.206286728382
CDH3	-0.711983084679
CDK2	-1.71972489357
CDK4	-1.12977433205
CDK6	-0.7151735425
CDK7	1.69951879978
CDKN1A	0.687664210796
CDKN1B	1.39340293407
CDKN2A	0.0556740313768
CEBPA	-1.96429288387
CEBPD	0.306616187096
CENPE	-1.05788946152
CETN3	-1.72596311569
CHEK1	-1.85959339142
CHN1	-0.525004923344
CIRBP	1.06594645977
CLTB	0.476569473743
CLTC	-0.526455581188
COL1A1	-0.607471346855
COL4A1	-0.401151418686
CREB1	-0.07508289814
CRK	1.42314124107
CRKL	0.659271895885
CRYZ	-1.60530686378
CSK	-0.913585305214
CSNK1A1	0.680323541164
CSNK1E	0.710415244102
CSNK2A2	1.27907466888
CSRP1	-0.994438350201
CTNND1	-2.37714648247
CTSD	-2.35447120667
CTSL	1.25541400909
CYB561	1.43304765224
DAG1	-3.63387203217
DAXX	-0.631381571293
DCK	0.616005957127
DCTD	-1.39265656471
DDB2	-3.30320739746
GADD45A	2.1250140667
DDX10	1.95538985729
DECR1	-0.89602124691
DFFA	-3.37657690048
DFFB	-1.52532601357
DLD	-1.02541160583
DNM1	-1.49414932728
DNMT1	-2.26102423668
DNMT3A	-2.1104798317
DPH2	0.967784583569
DSG2	0.323498487473
TSC22D3	6.67600440979
DUSP3	-0.816252052784
DUSP4	-0.0912502408028
DUSP6	1.12866401672
TOR1A	-1.95925891399
E2F2	-0.728700041771
ECH1	-2.66841721535
EDN1	-0.599601626396
EGF	0.186003282666
EGFR	2.72152900696
EGR1	3.12768864632
EIF4EBP1	1.59561014175
EIF4G1	-0.834692120552
EIF5	2.92389154434
ELAVL1	-0.212081700563
CTTN	-0.461054265499
EPB41L2	0.56738615036
EPHA3	2.72324371338
EPHB2	-0.0210105367005
EPRS	1.69291353226
NR2F6	-1.28057122231
ERBB2	-4.72642421722
ERBB3	-5.19132757187
ETFB	-0.376940399408
ETS1	-0.692136585712
ETV1	0.0692083016038
EXT1	1.22780156136
EZH2	0.707786083221
FAH	-0.627233505249
PTK2B	-0.157757401466
FAT1	-2.01999282837
FDFT1	2.45938134193
FGFR2	-0.338617146015
FGFR4	-3.81730318069
FHL2	1.08888053894
FKBP4	-1.11607885361
FOXO3	2.27817678452
FOS	2.77054810524
FPGS	0.608710050583
FUT1	-0.230602860451
FYN	0.0561310946941
SLC37A4	-1.13348937035
GAA	-1.39484858513
GABPB1	2.27175569534
GALE	0.252310812473
GAPDH	-1.60424625874
GATA2	0.92064845562
GATA3	-1.34728264809
GFPT1	4.91247463226
GHR	-0.741891443729
GLI2	0.118463389575
GLRX	2.81201982498
GNA11	0.484467864037
GNA15	-0.281091153622
GNAI1	1.47819447517
GNAI2	-3.41396188736
GNAS	-1.35983419418
SFN	4.69207334518
GPC1	-1.08336353302
GPER1	-1.56219291687
GRB7	-1.48418807983
GRB10	4.49795484543
GRN	-0.152566730976
NR3C1	0.324645131826
CXCL2	4.26389503479
GSTM2	-2.05252933502
GSTZ1	0.123819082975
MSH6	-0.623388409615
GTF2A2	0.345880389214
GTF2E2	-2.30304932594
HSD17B10	-2.2425904274
HADH	-2.04079890251
HDAC2	-1.05200493336
HIF1A	0.483623683453
HK1	0.375408053398
HLA-DMA	0.489010810852
HLA-DRA	-0.557491958141
HMGCR	1.6760379076
HMGCS1	2.06567001343
HMOX1	4.56205415726
HOXA5	-1.62397587299
HOXA10	-1.00211751461
HPRT1	-0.113810807467
HES1	1.26519799232
DNAJB2	0.852285206318
HSPA1A	-3.62890911102
HSPA4	-0.565927028656
HSPA8	-3.0313835144
HSPB1	-4.01670217514
HSPD1	-0.0687941461802
DNAJB1	-0.718267679214
ICAM1	1.25577437878
ICAM3	-0.681795597076
ID2	-0.47127494216
IDE	2.73379039764
IFNAR1	-1.45853686333
IGF1R	0.188518673182
IGF2R	-3.43681454659
IGFBP3	1.36128950119
IGHMBP2	0.472011804581
IKBKB	-0.464433252811
IL1B	0.310640275478
IL4R	3.48911881447
IL13RA1	-1.6037478447
ILK	-0.0267890244722
INPP1	1.4674372673
INSIG1	-0.817082703114
ITGAE	-1.19081759453
ITGB5	-1.86051106453
JUN	1.85431861877
KCNK1	1.15323960781
KIF5C	0.810013175011
KIT	-0.373488634825
KTN1	-0.0883983522654
LAMA3	-0.781245231628
STMN1	-5.01778888702
LBR	-0.574094355106
LGALS8	0.942573845387
LIG1	-3.52093052864
LIPA	0.550401091576
LOXL1	-1.04433774948
LRPAP1	-1.64474916458
LYN	-0.547055780888
SMAD3	1.06966114044
MAN2B1	-1.84529948235
MAT2A	-0.733653903008
MBNL1	1.9722880125
MCM3	-1.98973631859
ME2	-0.954457998276
MEF2C	-0.696023225784
MAP3K4	-1.50551486015
MEST	0.665475726128
MIF	-0.861337423325
FOXO4	-2.19283795357
MMP1	-0.0937812328339
MMP2	-0.334642916918
MNAT1	1.90281450748
MSRA	-0.432729423046
MUC1	0.900692045689
MYBL2	-3.40114784241
MYC	2.29882335663
GADD45B	1.34410738945
MYLK	-1.30920553207
MYO10	0.117062658072
NCK1	2.63150620461
NFATC3	-0.166095435619
NFATC4	-0.521805465221
NFE2L2	1.56466245651
NFIL3	3.17705106735
NFKB2	2.17523956299
NFKBIA	1.5603556633
NFKBIB	2.14727950096
NFKBIE	0.783774852753
NIT1	-1.33341574669
NMT1	-2.40064096451
NOS3	-0.918536543846
CNOT4	2.24301338196
NOTCH1	-0.904407858849
PNP	2.30905199051
NPC1	0.405156552792
SLC11A2	-1.07891094685
NRAS	-0.653372704983
NUCB2	2.31236243248
NUP88	0.0318875126541
NVL	0.829333901405
ORC1	-1.83978354931
OXA1L	-1.80019378662
OXCT1	-1.04531645775
PAFAH1B1	-1.00034439564
PAFAH1B3	-2.04508209229
SERPINE1	0.757087945938
PAK1	-0.470819890499
PCBD1	-2.45249295235
PCCB	-2.69783973694
PCK2	0.0733649581671
PCM1	0.50712454319
PCMT1	0.331370353699
PCNA	-2.05894756317
PDGFA	1.20747125149
PFKL	-1.18901896477
PGAM1	-1.16407251358
PGM1	-2.53702545166
PHKA1	0.918491005898
PHKB	-1.87666940689
PHKG2	0.720863699913
PIK3C2B	2.30580759048
PIK3C3	1.39822793007
PIK3CA	1.05293488503
PIN1	-3.95401287079
PLA2G4A	-0.24326184392
PLCB3	-0.802551746368
PLK1	-1.43085432053
PLP2	-1.27622056007
PLS1	0.0588276386261
PLSCR1	0.634479403496
PMAIP1	4.37549257278
PMM2	0.822896957397
POLB	-0.315637886524
POLE2	-1.20667171478
