V1	24h_3uM
AARS	0.379736870527
ABCF1	0.0414285957813
ABL1	-0.83776307106
ACAA1	1.08004033566
ACAT2	0.496611118317
ACLY	0.0925290733576
ADAM10	0.306228280067
ADH5	0.998832464218
PARP1	0.0972327068448
ADRB2	-6.76287651062
AGL	0.263107150793
AKT1	0.426129341125
ALAS1	-0.196474522352
ALDOA	-0.98036044836
ALDOC	-0.781925916672
SLC25A4	0.634607195854
ANXA7	1.583152771
APBB2	0.130883306265
BIRC2	0.300870478153
BIRC5	0.646236717701
APOE	0.131597459316
APP	0.0713650435209
FAS	0.742013573647
RHOA	-0.571942031384
ARHGAP1	-0.534565806389
ASAH1	-0.45845502615
ATF1	-0.307799071074
ATP1B1	-0.489382684231
ALDH7A1	0.372532576323
ATP6V0B	0.281421005726
BAD	-0.963937520981
BAX	0.00960407033563
CCND1	0.289341777563
BCL2	-0.505632758141
BDH1	0.526164054871
BID	0.384846121073
BLMH	0.0910982489586
BLVRA	0.423238933086
BMP4	-0.0180924236774
BNIP3	1.10834121704
BNIP3L	-0.43768543005
BPHL	0.890223145485
BRCA1	0.208812579513
BTK	-0.065406896174
BUB1B	0.677488803864
C5	-0.78930914402
DDR1	0.46345603466
CALM3	-0.336257189512
CALU	0.374824672937
CAPN1	-0.31718480587
CAST	-0.69303381443
CASP2	0.121037304401
CASP3	0.642467260361
CASP7	0.44336989522
CASP10	0.0411561354995
CAT	1.67801475525
CBLB	0.688401699066
CBR1	-0.400797665119
CBR3	-0.302791595459
CCNA2	0.0449251234531
CCNB1	0.225733935833
CCND3	-0.37735798955
CCNF	0.637030124664
CCNH	-0.406230002642
SCARB1	0.0129694789648
CD40	-0.947256028652
CD44	1.16458511353
CD58	-0.524947404861
ADGRE5	0.229201570153
CDK1	0.531003475189
CDC20	-0.814035654068
CDC25A	1.07946896553
CDC25B	-0.190749198198
CDC42	2.5827600956
CDH3	-0.728882789612
CDK2	-0.0699214786291
CDK4	0.582796692848
CDK6	-0.248397037387
CDK7	-0.355521261692
CDKN1A	0.161534830928
CDKN1B	1.6131799221
CDKN2A	-0.219592124224
CEBPA	-0.153520062566
CEBPD	0.220581710339
CENPE	-0.313033401966
CETN3	0.24606923759
CHEK1	-0.135129094124
CHN1	-0.287599444389
CIRBP	0.12099134922
CLTB	-0.289518922567
CLTC	0.676533699036
COL1A1	-0.313957870007
COL4A1	0.158809304237
CREB1	0.492981433868
CRK	0.23491512239
CRKL	0.14112085104
CRYZ	0.259128212929
CSK	0.205340534449
CSNK1A1	0.330520033836
CSNK1E	0.275451719761
CSNK2A2	-0.476275146008
CSRP1	0.292156845331
CTNND1	-0.333124995232
CTSD	0.642340064049
CTSL	0.00899581611156
CYB561	-0.216898202896
DAG1	-0.647386550903
DAXX	0.247666269541
DCK	-3.72317290306
DCTD	0.0450731292367
DDB2	-0.356338739395
GADD45A	0.586884737015
DDX10	-0.261849433184
DECR1	0.511535465717
DFFA	-0.299934774637
DFFB	0.455794453621
DLD	0.280622780323
DNM1	-0.404729962349
DNMT1	-0.462247282267
DNMT3A	-0.183196559548
DPH2	-0.30599540472
DSG2	0.25704240799
TSC22D3	0.311091095209
DUSP3	-1.61332643032
DUSP4	-0.166412264109
DUSP6	-1.43419146538
TOR1A	-0.172502726316
E2F2	0.285443872213
ECH1	0.141952291131
EDN1	-0.296466559172
EGF	-0.118150293827
EGFR	-0.13542971015
EGR1	-0.288599431515
EIF4EBP1	-0.452361106873
EIF4G1	0.430977880955
EIF5	0.163502424955
ELAVL1	0.774412333965
CTTN	-1.27315735817
EPB41L2	-1.00990080833
EPHA3	-6.7731461525
EPHB2	-0.782198250294
EPRS	-0.23284766078
NR2F6	-0.756960272789
ERBB2	-0.312508016825
ERBB3	0.0877902507782
ETFB	-0.228668555617
ETS1	0.0425967425108
ETV1	0.99430668354
EXT1	0.335104197264
EZH2	-0.22079859674
FAH	0.542254805565
PTK2B	0.0160181298852
FAT1	-0.751187384129
FDFT1	-1.11342918873
FGFR2	0.465498507023
FGFR4	-0.136378377676
FHL2	-0.198170050979
FKBP4	0.319427192211
FOXO3	-0.683427333832
FOS	0.305890917778
FPGS	0.451364815235
FUT1	0.241593450308
FYN	1.63045716286
SLC37A4	-0.0262072458863
GAA	-0.418999284506
GABPB1	-0.58350020647
GALE	0.209231346846
GAPDH	-0.31763792038
GATA2	-0.176459625363
GATA3	-0.82416844368
GFPT1	0.392132103443
GHR	-0.354038178921
GLI2	0.204636976123
GLRX	0.185689643025
GNA11	-0.21083638072
GNA15	-0.348130941391
GNAI1	-0.480768233538
GNAI2	-0.32855027914
GNAS	-0.116758197546
SFN	-0.804090201855
GPC1	-0.0173662006855
GPER1	-0.435484409332
GRB7	1.0205411911
GRB10	-0.39717233181
GRN	-0.579769730568
NR3C1	0.586098670959
CXCL2	-1.24379491806
GSTM2	-0.585062205791
GSTZ1	0.0657103061676
MSH6	0.184543177485
GTF2A2	-1.64187431335
GTF2E2	-0.265233933926
HSD17B10	-0.454223036766
HADH	-0.0002162301098
HDAC2	-0.870710611343
HIF1A	-0.323475122452
HK1	-0.0301938056946
HLA-DMA	-0.18996578455
HLA-DRA	-0.0232508480549
HMGCR	0.264575332403
HMGCS1	0.108574211597
HMOX1	-0.243394136429
HOXA5	0.212765395641
HOXA10	0.440058290958
HPRT1	0.279388874769
HES1	-3.03353595734
DNAJB2	0.0374457761645
HSPA1A	-0.634985387325
HSPA4	-0.110848933458
HSPA8	-0.00640766322613
HSPB1	-0.276366978884
HSPD1	0.456054091454
DNAJB1	0.00851240754128
ICAM1	-0.197892859578
ICAM3	-0.180218920112
ID2	1.07652628422
IDE	-0.43827688694
IFNAR1	-0.0396559983492
IGF1R	0.567500650883
IGF2R	-0.111242055893
IGFBP3	0.22719617188
IGHMBP2	-0.366211742163
IKBKB	0.0791590437293
IL1B	1.58335888386
IL4R	-0.30281162262
IL13RA1	-0.0798561871052
ILK	-0.374070197344
INPP1	-0.225308179855
INSIG1	0.0888446420431
ITGAE	-0.250452786684
ITGB5	0.0611378997564
JUN	-0.354679554701
KCNK1	-0.409993618727
KIF5C	-0.0467763692141
KIT	-0.0649086982012
KTN1	-0.424933612347
LAMA3	0.395615041256
STMN1	-1.4972755909
LBR	-0.279539227486
LGALS8	-0.0683876499534
LIG1	-0.230464920402
LIPA	0.899136245251
LOXL1	-0.235458612442
LRPAP1	0.567361354828
LYN	0.145944535732
SMAD3	-0.242090478539
MAN2B1	0.255765467882
MAT2A	0.34003046155
MBNL1	-0.159373790026
MCM3	-0.276803970337
ME2	-0.0746719837189
MEF2C	-0.0988366901875
MAP3K4	0.313077896833
MEST	-0.0102837383747
