"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-69202","R-HSA-69202","Cyclin E associated events during G1/S transition ","6/19","39/2914",9.21434782032306e-08,1.72237169254096e-05,1.21625983238332e-05,"AKT1/CDKN1A/CUL1/MYC/E2F1/MAX",6
"R-HSA-69656","R-HSA-69656","Cyclin A:Cdk2-associated events at S phase entry","6/19","40/2914",1.07985686052724e-07,1.72237169254096e-05,1.21625983238332e-05,"AKT1/CDKN1A/CUL1/MYC/E2F1/MAX",6
"R-HSA-2173796","R-HSA-2173796","SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription","5/19","24/2914",2.62389263733376e-07,2.79007250436489e-05,1.9702211382085e-05,"MYC/SMAD2/SMAD3/SMAD4/SP1",5
"R-HSA-9614085","R-HSA-9614085","FOXO-mediated transcription","6/19","49/2914",3.79937354504533e-07,3.03000040217365e-05,2.13964720694658e-05,"AKT1/CDKN1A/CREBBP/SMAD2/SMAD3/SMAD4",6
"R-HSA-9616222","R-HSA-9616222","Transcriptional regulation of granulopoiesis","5/19","27/2914",4.92375801766523e-07,3.14135761527042e-05,2.2182825595376e-05,"CDKN1A/CEBPA/MYC/STAT3/E2F1",5
"R-HSA-9617828","R-HSA-9617828","FOXO-mediated transcription of cell cycle genes","4/19","14/2914",1.24168163198798e-06,5.93975038042872e-05,4.1943790840183e-05,"CDKN1A/SMAD2/SMAD3/SMAD4",4
"R-HSA-69206","R-HSA-69206","G1/S Transition","6/19","60/2914",1.30339350040756e-06,5.93975038042872e-05,4.1943790840183e-05,"AKT1/CDKN1A/CUL1/MYC/E2F1/MAX",6
"R-HSA-5663202","R-HSA-5663202","Diseases of signal transduction","10/19","268/2914",1.60833670772565e-06,6.41324262205602e-05,4.5287375717538e-05,"AKT1/CDKN1A/CREBBP/CUL1/HSP90AA1/MYC/SMAD2/SMAD3/SMAD4/STAT3",10
"R-HSA-157118","R-HSA-157118","Signaling by NOTCH","7/19","104/2914",2.13510021170219e-06,7.07301052265264e-05,4.99463537979761e-05,"AKT1/CREBBP/CUL1/MYC/SMAD3/E2F1/HIF1A",7
"R-HSA-2173793","R-HSA-2173793","Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer","5/19","36/2914",2.21724467794753e-06,7.07301052265264e-05,4.99463537979761e-05,"MYC/SMAD2/SMAD3/SMAD4/SP1",5
"R-HSA-69242","R-HSA-69242","S Phase","6/19","71/2914",3.57250025395395e-06,0.000103602507364665,7.31593353441287e-05,"AKT1/CDKN1A/CUL1/MYC/E2F1/MAX",6
"R-HSA-453279","R-HSA-453279","Mitotic G1-G1/S phases","6/19","77/2914",5.77748369226844e-06,0.000153584774819469,0.000108454518433811,"AKT1/CDKN1A/CUL1/MYC/E2F1/MAX",6
"R-HSA-1266738","R-HSA-1266738","Developmental Biology","11/19","397/2914",7.12549019909025e-06,0.000174848567193061,0.00012347003259962,"AKT1/CDKN1A/CEBPA/CREBBP/HSP90AA1/MYC/SMAD2/SMAD3/SMAD4/STAT3/E2F1",11
"R-HSA-9018519","R-HSA-9018519","Estrogen-dependent gene expression","5/19","49/2914",1.06406451231603e-05,0.00024245469959201,0.000171210380177166,"CREBBP/HSP90AA1/MYC/SP1/USF1",5
"R-HSA-8878159","R-HSA-8878159","Transcriptional regulation by RUNX3","5/19","53/2914",1.57558003617928e-05,0.000335073354360794,0.000236613422977099,"CDKN1A/CREBBP/MYC/SMAD3/SMAD4",5
"R-HSA-6785807","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling","6/19","94/2914",1.85660619942383e-05,0.000370160861010127,0.000261390609655724,"AKT1/CDKN1A/HSP90AA1/MYC/STAT3/HIF1A",6
